PARAMETER,YEAR,LAT,LON,ANN-Wind
WS2M,2011,-16,33.75,2.44
WS2M,2011,-16,34.375,2.3
WS2M,2011,-16,35,2.05
WS2M,2011,-16,35.625,1.77
WS2M,2011,-16.5,33.125,2.61
WS2M,2011,-16.5,33.75,2.7
WS2M,2011,-16.5,34.375,2.55
WS2M,2011,-16.5,35,2.25
WS2M,2011,-16.5,35.625,2.11
WS2M,2011,-17,33.125,2.72
WS2M,2011,-17,33.75,2.94
WS2M,2011,-17,34.375,2.67
WS2M,2011,-17,35,2.37
WS2M,2011,-17,35.625,2.5
WS2M,2011,-9.5,33.125,2.24
WS2M,2011,-9.5,33.75,1.05
WS2M,2011,-9.5,34.375,1.61
WS2M,2011,-9.5,35,0.76
WS2M,2011,-9.5,35.625,0.07
WS2M,2012,-10,33.125,2.12
WS2M,2012,-10,33.75,2.48
WS2M,2012,-10,34.375,3.93
WS2M,2012,-10,35,1.15
WS2M,2012,-10,35.625,0.86
WS2M,2012,-10.5,33.125,2.1
WS2M,2012,-10.5,33.75,2.01
WS2M,2012,-10.5,34.375,3.64
WS2M,2012,-10.5,35,2.37
WS2M,2012,-10.5,35.625,2.26
WS2M,2012,-11,33.125,2.41
WS2M,2012,-11,33.75,2.55
WS2M,2012,-11,34.375,3.73
WS2M,2012,-11,35,2.91
WS2M,2012,-11,35.625,1.23
WS2M,2012,-11.5,33.125,2.73
WS2M,2012,-11.5,33.75,2.29
WS2M,2012,-11.5,34.375,3.75
WS2M,2012,-11.5,35,3.03
WS2M,2012,-11.5,35.625,2.17
WS2M,2012,-12,33.125,2.88
WS2M,2012,-12,33.75,1.67
WS2M,2012,-12,34.375,3.85
WS2M,2012,-12,35,2.95
WS2M,2012,-12,35.625,2.31
WS2M,2012,-12.5,33.125,2.87
WS2M,2012,-12.5,33.75,1.92
WS2M,2012,-12.5,34.375,3.94
WS2M,2012,-12.5,35,3.05
WS2M,2012,-12.5,35.625,2.14
WS2M,2012,-13,33.125,2.71
WS2M,2012,-13,33.75,2.22
WS2M,2012,-13,34.375,3.65
WS2M,2012,-13,35,3.22
WS2M,2012,-13,35.625,1.98
WS2M,2012,-13.5,33.125,2.56
WS2M,2012,-13.5,33.75,2.48
WS2M,2012,-13.5,34.375,3.56
WS2M,2012,-13.5,35,3.43
WS2M,2012,-13.5,35.625,2.22
WS2M,2012,-14,33.125,2.3
WS2M,2012,-14,33.75,2.31
WS2M,2012,-14,34.375,2.57
WS2M,2012,-14,35,3.58
WS2M,2012,-14,35.625,2.34
WS2M,2012,-14.5,33.125,2.28
WS2M,2012,-14.5,33.75,2.32
WS2M,2012,-14.5,34.375,1.55
WS2M,2012,-14.5,35,2.43
WS2M,2012,-14.5,35.625,2.46
WS2M,2012,-15,33.125,2.57
WS2M,2012,-15,33.75,2.33
WS2M,2012,-15,34.375,2.25
WS2M,2012,-15,35,2.04
WS2M,2012,-15,35.625,2.84
WS2M,2012,-15.5,33.125,2.67
WS2M,2012,-15.5,33.75,2.41
WS2M,2012,-15.5,34.375,2.34
WS2M,2012,-15.5,35,2
WS2M,2012,-15.5,35.625,2.5
WS2M,2012,-16,33.125,2.68
WS2M,2012,-16,33.75,2.61
WS2M,2012,-16,34.375,2.41
WS2M,2012,-16,35,2.1
WS2M,2012,-16,35.625,1.82
WS2M,2012,-16.5,33.125,2.75
WS2M,2012,-16.5,33.75,2.86
WS2M,2012,-16.5,34.375,2.67
WS2M,2012,-16.5,35,2.39
WS2M,2012,-16.5,35.625,2.25
WS2M,2012,-17,33.125,2.8
WS2M,2012,-17,33.75,3.02
WS2M,2012,-17,34.375,2.76
WS2M,2012,-17,35,2.51
WS2M,2012,-17,35.625,2.67
WS2M,2012,-9.5,33.125,2.28
WS2M,2012,-9.5,33.75,1.07
WS2M,2012,-9.5,34.375,1.63
WS2M,2012,-9.5,35,0.77
WS2M,2012,-9.5,35.625,0.06
WS2M,2013,-10,33.125,2.28
WS2M,2013,-10,33.75,2.69
WS2M,2013,-10,34.375,4.21
WS2M,2013,-10,35,1.21
WS2M,2013,-10,35.625,0.91
WS2M,2013,-10.5,33.125,2.19
WS2M,2013,-10.5,33.75,2.18
