PARAMETER,YEAR,LAT,LON,ANN-Temp
T2M,2019,-12.5,35.625,21.14
T2M,2019,-13,33.125,21.04
T2M,2019,-13,33.75,21.19
T2M,2019,-13,34.375,26.53
T2M,2019,-13,35,22.67
T2M,2019,-13,35.625,20.1
T2M,2019,-13.5,33.125,20.96
T2M,2019,-13.5,33.75,20.62
T2M,2019,-13.5,34.375,25.93
T2M,2019,-13.5,35,23.59
T2M,2019,-13.5,35.625,21.1
T2M,2019,-14,33.125,21.02
T2M,2019,-14,33.75,20.19
T2M,2019,-14,34.375,22.12
T2M,2019,-14,35,24.52
T2M,2019,-14,35.625,21.94
T2M,2019,-14.5,33.125,22.23
T2M,2019,-14.5,33.75,19.66
T2M,2019,-14.5,34.375,18.93
T2M,2019,-14.5,35,23.81
T2M,2019,-14.5,35.625,22.57
T2M,2019,-15,33.125,23.72
T2M,2019,-15,33.75,20.93
T2M,2019,-15,34.375,19.17
T2M,2019,-15,35,22.37
T2M,2019,-15,35.625,23.45
T2M,2019,-15.5,33.125,24.31
T2M,2019,-15.5,33.75,23.32
T2M,2019,-15.5,34.375,21.27
T2M,2019,-15.5,35,22.57
T2M,2019,-15.5,35.625,22.73
T2M,2019,-16,33.125,25.2
T2M,2019,-16,33.75,25.11
T2M,2019,-16,34.375,24.96
T2M,2019,-16,35,23.55
T2M,2019,-16,35.625,21.12
T2M,2019,-16.5,33.125,25.49
T2M,2019,-16.5,33.75,25.79
T2M,2019,-16.5,34.375,25.91
T2M,2019,-16.5,35,26.01
T2M,2019,-16.5,35.625,23.98
T2M,2019,-17,33.125,24.8
T2M,2019,-17,33.75,24.9
T2M,2019,-17,34.375,26.27
T2M,2019,-17,35,26.11
T2M,2019,-17,35.625,25.13
T2M,2019,-9.5,33.125,19.08
T2M,2019,-9.5,33.75,20.89
T2M,2019,-9.5,34.375,18.11
T2M,2019,-9.5,35,17.77
T2M,2019,-9.5,35.625,23.4
T2M,2020,-10,33.125,21.04
T2M,2020,-10,33.75,22.42
T2M,2020,-10,34.375,24.91
T2M,2020,-10,35,20.07
T2M,2020,-10,35.625,21.89
T2M,2020,-10.5,33.125,21.79
T2M,2020,-10.5,33.75,18.55
T2M,2020,-10.5,34.375,26.87
T2M,2020,-10.5,35,22.24
T2M,2020,-10.5,35.625,20.84
T2M,2020,-11,33.125,22.6
T2M,2020,-11,33.75,19.27
T2M,2020,-11,34.375,26.25
T2M,2020,-11,35,21.49
T2M,2020,-11,35.625,21.41
T2M,2020,-11.5,33.125,22.08
T2M,2020,-11.5,33.75,19.31
T2M,2020,-11.5,34.375,26.31
T2M,2020,-11.5,35,23.1
T2M,2020,-11.5,35.625,22.83
T2M,2020,-12,33.125,21
T2M,2020,-12,33.75,19.72
T2M,2020,-12,34.375,26.4
T2M,2020,-12,35,24.22
T2M,2020,-12,35.625,22.17
T2M,2020,-12.5,33.125,20.67
T2M,2020,-12.5,33.75,20.74
T2M,2020,-12.5,34.375,26.46
T2M,2020,-12.5,35,23.27
T2M,2020,-12.5,35.625,20.61
T2M,2020,-13,33.125,20.88
T2M,2020,-13,33.75,21.11
T2M,2020,-13,34.375,26.46
T2M,2020,-13,35,22.45
T2M,2020,-13,35.625,19.75
T2M,2020,-13.5,33.125,21.01
T2M,2020,-13.5,33.75,20.67
T2M,2020,-13.5,34.375,25.98
T2M,2020,-13.5,35,23.48
T2M,2020,-13.5,35.625,20.9
T2M,2020,-14,33.125,21.25
T2M,2020,-14,33.75,20.32
T2M,2020,-14,34.375,22.14
T2M,2020,-14,35,24.47
T2M,2020,-14,35.625,21.82
T2M,2020,-14.5,33.125,22.71
T2M,2020,-14.5,33.75,19.88
T2M,2020,-14.5,34.375,18.97
T2M,2020,-14.5,35,23.92
T2M,2020,-14.5,35.625,22.43
T2M,2020,-15,33.125,24.72
T2M,2020,-15,33.75,21.51
T2M,2020,-15,34.375,19.36
T2M,2020,-15,35,22.57
T2M,2020,-15,35.625,23.51
T2M,2020,-15.5,33.125,25.56
T2M,2020,-15.5,33.75,24.34
T2M,2020,-15.5,34.375,21.94
T2M,2020,-15.5,35,22.89
T2M,2020,-15.5,35.625,22.77
T2M,2020,-16,33.125,26.1
T2M,2020,-16,33.75,25.98
T2M,2020,-16,34.375,25.64
T2M,2020,-16,35,23.82
T2M,2020,-16,35.625,21.12
T2M,2020,-16.5,33.125,25.85
T2M,2020,-16.5,33.75,26.27
T2M,2020,-16.5,34.375,26.28
T2M,2020,-16.5,35,26.27
T2M,2020,-16.5,35.625,24.05
T2M,2020,-17,33.125,24.75
T2M,2020,-17,33.75,25.07
T2M,2020,-17,34.375,26.43
T2M,2020,-17,35,26.27
T2M,2020,-17,35.625,25.29
T2M,2020,-9.5,33.125,18.67
T2M,2020,-9.5,33.75,20.45
T2M,2020,-9.5,34.375,17.8
T2M,2020,-9.5,35,17.33
T2M,2020,-9.5,35.625,22.35
T2M,2021,-10,33.125,21.31
T2M,2021,-10,33.75,22.45
T2M,2021,-10,34.375,24.88
T2M,2021,-10,35,19.77
T2M,2021,-10,35.625,21.68
T2M,2021,-10.5,33.125,22
T2M,2021,-10.5,33.75,18.45
T2M,2021,-10.5,34.375,26.88
T2M,2021,-10.5,35,22
T2M,2021,-10.5,35.625,20.32
T2M,2021,-11,33.125,22.79
T2M,2021,-11,33.75,19.22
T2M,2021,-11,34.375,26.16
T2M,2021,-11,35,21.1
T2M,2021,-11,35.625,20.94
T2M,2021,-11.5,33.125,22.17
T2M,2021,-11.5,33.75,19.18
T2M,2021,-11.5,34.375,26.19
T2M,2021,-11.5,35,22.78
T2M,2021,-11.5,35.625,22.51
T2M,2021,-12,33.125,20.93
T2M,2021,-12,33.75,19.5
T2M,2021,-12,34.375,26.21
T2M,2021,-12,35,24.03
T2M,2021,-12,35.625,21.86
T2M,2021,-12.5,33.125,20.51
T2M,2021,-12.5,33.75,20.59
T2M,2021,-12.5,34.375,26.29
T2M,2021,-12.5,35,23.14
T2M,2021,-12.5,35.625,20.42
T2M,2021,-13,33.125,20.72
T2M,2021,-13,33.75,20.83
T2M,2021,-13,34.375,26.32
T2M,2021,-13,35,22.41
T2M,2021,-13,35.625,19.8
T2M,2021,-13.5,33.125,20.82
T2M,2021,-13.5,33.75,20.33
T2M,2021,-13.5,34.375,25.86
T2M,2021,-13.5,35,23.43
T2M,2021,-13.5,35.625,20.92
T2M,2021,-14,33.125,20.97
T2M,2021,-14,33.75,20.03
T2M,2021,-14,34.375,22.06
T2M,2021,-14,35,24.4
T2M,2021,-14,35.625,21.7
T2M,2021,-14.5,33.125,22.16
T2M,2021,-14.5,33.75,19.68
T2M,2021,-14.5,34.375,18.84
T2M,2021,-14.5,35,23.84
T2M,2021,-14.5,35.625,22.43
T2M,2021,-15,33.125,23.81
T2M,2021,-15,33.75,21.13
T2M,2021,-15,34.375,19.11
T2M,2021,-15,35,22.45
T2M,2021,-15,35.625,23.41
T2M,2021,-15.5,33.125,24.82
T2M,2021,-15.5,33.75,23.92
T2M,2021,-15.5,34.375,21.58
T2M,2021,-15.5,35,22.7
T2M,2021,-15.5,35.625,22.61
T2M,2021,-16,33.125,25.71
T2M,2021,-16,33.75,25.75
T2M,2021,-16,34.375,25.5
T2M,2021,-16,35,23.65
T2M,2021,-16,35.625,20.94
T2M,2021,-16.5,33.125,25.65
T2M,2021,-16.5,33.75,26.1
T2M,2021,-16.5,34.375,26.18
T2M,2021,-16.5,35,26.2
T2M,2021,-16.5,35.625,23.97
T2M,2021,-17,33.125,24.29
T2M,2021,-17,33.75,24.78
T2M,2021,-17,34.375,26.35
T2M,2021,-17,35,26.38
T2M,2021,-17,35.625,25.36
T2M,2021,-9.5,33.125,18.98
T2M,2021,-9.5,33.75,20.35
T2M,2021,-9.5,34.375,17.72
T2M,2021,-9.5,35,17
T2M,2021,-9.5,35.625,22.5
T2M,2022,-10,33.125,20.78
T2M,2022,-10,33.75,22.25
T2M,2022,-10,34.375,24.72
T2M,2022,-10,35,20.01
T2M,2022,-10,35.625,21.88
T2M,2022,-10.5,33.125,21.58
T2M,2022,-10.5,33.75,18.22
T2M,2022,-10.5,34.375,26.64
T2M,2022,-10.5,35,22.09
T2M,2022,-10.5,35.625,20.68
T2M,2022,-11,33.125,22.3
T2M,2022,-11,33.75,18.94
T2M,2022,-11,34.375,25.99
T2M,2022,-11,35,21.18
T2M,2022,-11,35.625,21.16
T2M,2022,-11.5,33.125,21.46
T2M,2022,-11.5,33.75,18.88
T2M,2022,-11.5,34.375,25.97
T2M,2022,-11.5,35,22.67
T2M,2022,-11.5,35.625,22.53
T2M,2022,-12,33.125,20.42
T2M,2022,-12,33.75,19.22
T2M,2022,-12,34.375,25.99
T2M,2022,-12,35,23.79
T2M,2022,-12,35.625,21.82
T2M,2022,-12.5,33.125,20.01
T2M,2022,-12.5,33.75,20.29
T2M,2022,-12.5,34.375,26.1
T2M,2022,-12.5,35,22.93
T2M,2022,-12.5,35.625,20.3
T2M,2022,-13,33.125,20.17
T2M,2022,-13,33.75,20.57
T2M,2022,-13,34.375,26.13
T2M,2022,-13,35,22.21
T2M,2022,-13,35.625,19.61
T2M,2022,-13.5,33.125,20.22
T2M,2022,-13.5,33.75,20.03
T2M,2022,-13.5,34.375,25.55
T2M,2022,-13.5,35,23.22
T2M,2022,-13.5,35.625,20.68
T2M,2022,-14,33.125,20.52
T2M,2022,-14,33.75,19.66
T2M,2022,-14,34.375,21.63
T2M,2022,-14,35,24.12
T2M,2022,-14,35.625,21.35
T2M,2022,-14.5,33.125,21.76
T2M,2022,-14.5,33.75,19.26
T2M,2022,-14.5,34.375,18.49
T2M,2022,-14.5,35,23.39
T2M,2022,-14.5,35.625,22.11
T2M,2022,-15,33.125,23.77
T2M,2022,-15,33.75,20.72
T2M,2022,-15,34.375,18.79
T2M,2022,-15,35,21.89
T2M,2022,-15,35.625,22.98
T2M,2022,-15.5,33.125,24.82
T2M,2022,-15.5,33.75,23.48
T2M,2022,-15.5,34.375,21.12
T2M,2022,-15.5,35,22.02
T2M,2022,-15.5,35.625,22.13
T2M,2022,-16,33.125,25.55
T2M,2022,-16,33.75,25.39
T2M,2022,-16,34.375,25.13
T2M,2022,-16,35,23.05
T2M,2022,-16,35.625,20.48
T2M,2022,-16.5,33.125,25.54
T2M,2022,-16.5,33.75,25.84
T2M,2022,-16.5,34.375,25.81
T2M,2022,-16.5,35,25.65
T2M,2022,-16.5,35.625,23.47
T2M,2022,-17,33.125,24.33
T2M,2022,-17,33.75,24.61
T2M,2022,-17,34.375,25.99
T2M,2022,-17,35,25.78
T2M,2022,-17,35.625,24.71
T2M,2022,-9.5,33.125,18.3
T2M,2022,-9.5,33.75,20.34
T2M,2022,-9.5,34.375,17.69
T2M,2022,-9.5,35,17.21
T2M,2022,-9.5,35.625,22.36
T2M,2023,-10,33.125,21.84
T2M,2023,-10,33.75,23.09
T2M,2023,-10,34.375,25.53
T2M,2023,-10,35,20.79
T2M,2023,-10,35.625,22.47
T2M,2023,-10.5,33.125,22.59
T2M,2023,-10.5,33.75,19.02
T2M,2023,-10.5,34.375,27.48
T2M,2023,-10.5,35,22.88
T2M,2023,-10.5,35.625,21.4
T2M,2023,-11,33.125,23.39
T2M,2023,-11,33.75,19.85
T2M,2023,-11,34.375,26.81
T2M,2023,-11,35,22.08
T2M,2023,-11,35.625,22.08
T2M,2023,-11.5,33.125,22.71
T2M,2023,-11.5,33.75,19.74
T2M,2023,-11.5,34.375,26.81
T2M,2023,-11.5,35,23.55
T2M,2023,-11.5,35.625,23.36
T2M,2023,-12,33.125,21.46
T2M,2023,-12,33.75,20.07
T2M,2023,-12,34.375,26.78
T2M,2023,-12,35,24.63
T2M,2023,-12,35.625,22.56
T2M,2023,-12.5,33.125,20.92
T2M,2023,-12.5,33.75,21.11
T2M,2023,-12.5,34.375,26.85
T2M,2023,-12.5,35,23.59
T2M,2023,-12.5,35.625,20.89
T2M,2023,-13,33.125,21.06
T2M,2023,-13,33.75,21.31
T2M,2023,-13,34.375,26.89
T2M,2023,-13,35,22.78
T2M,2023,-13,35.625,20.09
T2M,2023,-13.5,33.125,21.14
T2M,2023,-13.5,33.75,20.75
T2M,2023,-13.5,34.375,26.31
T2M,2023,-13.5,35,23.73
T2M,2023,-13.5,35.625,21.13
T2M,2023,-14,33.125,21.23
T2M,2023,-14,33.75,20.36
T2M,2023,-14,34.375,22.3
T2M,2023,-14,35,24.71
T2M,2023,-14,35.625,21.94
T2M,2023,-14.5,33.125,22.41
T2M,2023,-14.5,33.75,20.03
T2M,2023,-14.5,34.375,19.17
T2M,2023,-14.5,35,24
T2M,2023,-14.5,35.625,22.53
T2M,2023,-15,33.125,24.3
T2M,2023,-15,33.75,21.57
T2M,2023,-15,34.375,19.59
T2M,2023,-15,35,22.61
T2M,2023,-15,35.625,23.52
T2M,2023,-15.5,33.125,25.24
T2M,2023,-15.5,33.75,24.14
T2M,2023,-15.5,34.375,21.87
T2M,2023,-15.5,35,22.82
T2M,2023,-15.5,35.625,22.8
T2M,2023,-16,33.125,25.98
T2M,2023,-16,33.75,25.82
T2M,2023,-16,34.375,25.7
T2M,2023,-16,35,23.84
T2M,2023,-16,35.625,21.16
T2M,2023,-16.5,33.125,25.81
T2M,2023,-16.5,33.75,26.11
T2M,2023,-16.5,34.375,26.21
T2M,2023,-16.5,35,26.34
T2M,2023,-16.5,35.625,24.19
T2M,2023,-17,33.125,24.69
T2M,2023,-17,33.75,24.85
T2M,2023,-17,34.375,26.26
T2M,2023,-17,35,26.3
T2M,2023,-17,35.625,25.36
T2M,2023,-9.5,33.125,19.38
T2M,2023,-9.5,33.75,21.21
T2M,2023,-9.5,34.375,18.54
T2M,2023,-9.5,35,17.97
T2M,2023,-9.5,35.625,23.09
T2M,2024,-10,33.125,22.28
T2M,2024,-10,33.75,23.21
T2M,2024,-10,34.375,25.56
T2M,2024,-10,35,20.76
T2M,2024,-10,35.625,22.69
T2M,2024,-10.5,33.125,22.9
T2M,2024,-10.5,33.75,19.04
T2M,2024,-10.5,34.375,27.64
T2M,2024,-10.5,35,23.04
T2M,2024,-10.5,35.625,21.49
T2M,2024,-11,33.125,23.7
T2M,2024,-11,33.75,20.01
T2M,2024,-11,34.375,26.92
T2M,2024,-11,35,22.24
T2M,2024,-11,35.625,22.17
T2M,2024,-11.5,33.125,23
T2M,2024,-11.5,33.75,19.88
T2M,2024,-11.5,34.375,26.97
T2M,2024,-11.5,35,23.87
T2M,2024,-11.5,35.625,23.81
T2M,2024,-12,33.125,21.8
T2M,2024,-12,33.75,20.21
T2M,2024,-12,34.375,26.95
T2M,2024,-12,35,25.05
T2M,2024,-12,35.625,23.1
T2M,2024,-12.5,33.125,21.04
T2M,2024,-12.5,33.75,21.18
T2M,2024,-12.5,34.375,27.03
T2M,2024,-12.5,35,24
T2M,2024,-12.5,35.625,21.46
T2M,2024,-13,33.125,21.28
T2M,2024,-13,33.75,21.34
T2M,2024,-13,34.375,26.95
T2M,2024,-13,35,23.09
T2M,2024,-13,35.625,20.57
T2M,2024,-13.5,33.125,21.64
T2M,2024,-13.5,33.75,20.83
T2M,2024,-13.5,34.375,26.3
T2M,2024,-13.5,35,24.12
T2M,2024,-13.5,35.625,21.87
T2M,2024,-14,33.125,21.77
T2M,2024,-14,33.75,20.6
T2M,2024,-14,34.375,22.49
T2M,2024,-14,35,24.97
T2M,2024,-14,35.625,22.7
T2M,2024,-14.5,33.125,23.41
T2M,2024,-14.5,33.75,20.22
T2M,2024,-14.5,34.375,19.17
T2M,2024,-14.5,35,24.24
T2M,2024,-14.5,35.625,23.07
T2M,2024,-15,33.125,25.1
T2M,2024,-15,33.75,21.76
T2M,2024,-15,34.375,19.38
T2M,2024,-15,35,22.74
T2M,2024,-15,35.625,23.96
T2M,2024,-15.5,33.125,25.75
T2M,2024,-15.5,33.75,24.38
T2M,2024,-15.5,34.375,21.96
T2M,2024,-15.5,35,22.9
T2M,2024,-15.5,35.625,22.85
T2M,2024,-16,33.125,26.18
T2M,2024,-16,33.75,26.11
T2M,2024,-16,34.375,25.8
T2M,2024,-16,35,23.77
T2M,2024,-16,35.625,20.89
T2M,2024,-16.5,33.125,26.29
T2M,2024,-16.5,33.75,26.5
T2M,2024,-16.5,34.375,26.42
T2M,2024,-16.5,35,26.34
T2M,2024,-16.5,35.625,23.92
T2M,2024,-17,33.125,25.22
T2M,2024,-17,33.75,25.41
T2M,2024,-17,34.375,26.78
T2M,2024,-17,35,26.67
T2M,2024,-17,35.625,25.57
T2M,2024,-9.5,33.125,19.35
T2M,2024,-9.5,33.75,21.34
T2M,2024,-9.5,34.375,18.52
T2M,2024,-9.5,35,17.97
T2M,2024,-9.5,35.625,23.21
T2M,2025,-10,33.125,
T2M,2025,-10,33.75,
T2M,2025,-10,34.375,
T2M,2025,-10,35,
T2M,2025,-10,35.625,
T2M,2025,-10.5,33.125,
T2M,2025,-10.5,33.75,
T2M,2025,-10.5,34.375,
T2M,2025,-10.5,35,
T2M,2025,-10.5,35.625,
T2M,2025,-11,33.125,
T2M,2025,-11,33.75,
T2M,2025,-11,34.375,
T2M,2025,-11,35,
T2M,2025,-11,35.625,
T2M,2025,-11.5,33.125,
T2M,2025,-11.5,33.75,
T2M,2025,-11.5,34.375,
T2M,2025,-11.5,35,
T2M,2025,-11.5,35.625,
T2M,2025,-12,33.125,
T2M,2025,-12,33.75,
T2M,2025,-12,34.375,
T2M,2025,-12,35,
T2M,2025,-12,35.625,
T2M,2025,-12.5,33.125,
T2M,2025,-12.5,33.75,
T2M,2025,-12.5,34.375,
T2M,2025,-12.5,35,
T2M,2025,-12.5,35.625,
T2M,2025,-13,33.125,
T2M,2025,-13,33.75,
T2M,2025,-13,34.375,
T2M,2025,-13,35,
T2M,2025,-13,35.625,
T2M,2025,-13.5,33.125,
T2M,2025,-13.5,33.75,
T2M,2025,-13.5,34.375,
T2M,2025,-13.5,35,
T2M,2025,-13.5,35.625,
T2M,2025,-14,33.125,
T2M,2025,-14,33.75,
T2M,2025,-14,34.375,
T2M,2025,-14,35,
T2M,2025,-14,35.625,
T2M,2025,-14.5,33.125,
T2M,2025,-14.5,33.75,
T2M,2025,-14.5,34.375,
T2M,2025,-14.5,35,
T2M,2025,-14.5,35.625,
T2M,2025,-15,33.125,
T2M,2025,-15,33.75,
T2M,2025,-15,34.375,
T2M,2025,-15,35,
T2M,2025,-15,35.625,
T2M,2025,-15.5,33.125,
T2M,2025,-15.5,33.75,
T2M,2025,-15.5,34.375,
T2M,2025,-15.5,35,
T2M,2025,-15.5,35.625,
T2M,2025,-16,33.125,
T2M,2025,-16,33.75,
T2M,2025,-16,34.375,
T2M,2025,-16,35,
T2M,2025,-16,35.625,
T2M,2025,-16.5,33.125,
T2M,2025,-16.5,33.75,
T2M,2025,-16.5,34.375,
T2M,2025,-16.5,35,
T2M,2025,-16.5,35.625,
T2M,2025,-17,33.125,
T2M,2025,-17,33.75,
T2M,2025,-17,34.375,
T2M,2025,-17,35,
T2M,2025,-17,35.625,
T2M,2025,-9.5,33.125,
T2M,2025,-9.5,33.75,
T2M,2025,-9.5,34.375,
T2M,2025,-9.5,35,
T2M,2025,-9.5,35.625,
