PARAMETER,YEAR,LAT,LON,ANN-Temp
T2M,2011,-16.5,35.625,23.79
T2M,2011,-17,33.125,24.2
T2M,2011,-17,33.75,24.34
T2M,2011,-17,34.375,25.65
T2M,2011,-17,35,25.79
T2M,2011,-17,35.625,24.92
T2M,2011,-9.5,33.125,19.17
T2M,2011,-9.5,33.75,20.87
T2M,2011,-9.5,34.375,17.93
T2M,2011,-9.5,35,17.5
T2M,2011,-9.5,35.625,22.59
T2M,2012,-10,33.125,21.48
T2M,2012,-10,33.75,22.83
T2M,2012,-10,34.375,25.05
T2M,2012,-10,35,20.51
T2M,2012,-10,35.625,22.41
T2M,2012,-10.5,33.125,22.66
T2M,2012,-10.5,33.75,18.72
T2M,2012,-10.5,34.375,27.01
T2M,2012,-10.5,35,22.86
T2M,2012,-10.5,35.625,21.51
T2M,2012,-11,33.125,23.38
T2M,2012,-11,33.75,19.43
T2M,2012,-11,34.375,26.44
T2M,2012,-11,35,22.12
T2M,2012,-11,35.625,22.4
T2M,2012,-11.5,33.125,22.56
T2M,2012,-11.5,33.75,19.4
T2M,2012,-11.5,34.375,26.44
T2M,2012,-11.5,35,23.52
T2M,2012,-11.5,35.625,23.77
T2M,2012,-12,33.125,21.07
T2M,2012,-12,33.75,19.62
T2M,2012,-12,34.375,26.37
T2M,2012,-12,35,24.61
T2M,2012,-12,35.625,22.88
T2M,2012,-12.5,33.125,20.57
T2M,2012,-12.5,33.75,20.61
T2M,2012,-12.5,34.375,26.46
T2M,2012,-12.5,35,23.51
T2M,2012,-12.5,35.625,20.81
T2M,2012,-13,33.125,20.98
T2M,2012,-13,33.75,20.96
T2M,2012,-13,34.375,26.46
T2M,2012,-13,35,22.55
T2M,2012,-13,35.625,19.81
T2M,2012,-13.5,33.125,21.21
T2M,2012,-13.5,33.75,20.43
T2M,2012,-13.5,34.375,25.94
T2M,2012,-13.5,35,23.53
T2M,2012,-13.5,35.625,20.83
T2M,2012,-14,33.125,21.55
T2M,2012,-14,33.75,20.31
T2M,2012,-14,34.375,22.22
T2M,2012,-14,35,24.41
T2M,2012,-14,35.625,21.59
T2M,2012,-14.5,33.125,23.11
T2M,2012,-14.5,33.75,20.14
T2M,2012,-14.5,34.375,19
T2M,2012,-14.5,35,23.96
T2M,2012,-14.5,35.625,22.4
T2M,2012,-15,33.125,24.69
T2M,2012,-15,33.75,21.5
T2M,2012,-15,34.375,19.51
T2M,2012,-15,35,22.73
T2M,2012,-15,35.625,23.55
T2M,2012,-15.5,33.125,25.14
T2M,2012,-15.5,33.75,24.23
T2M,2012,-15.5,34.375,21.76
T2M,2012,-15.5,35,23.24
T2M,2012,-15.5,35.625,23.07
T2M,2012,-16,33.125,25.56
T2M,2012,-16,33.75,25.73
T2M,2012,-16,34.375,25.29
T2M,2012,-16,35,23.96
T2M,2012,-16,35.625,21.2
T2M,2012,-16.5,33.125,25.69
T2M,2012,-16.5,33.75,26.02
T2M,2012,-16.5,34.375,25.97
T2M,2012,-16.5,35,26.29
T2M,2012,-16.5,35.625,24.15
T2M,2012,-17,33.125,24.75
T2M,2012,-17,33.75,24.92
T2M,2012,-17,34.375,26.25
T2M,2012,-17,35,26.31
T2M,2012,-17,35.625,25.27
T2M,2012,-9.5,33.125,19.29
T2M,2012,-9.5,33.75,21
T2M,2012,-9.5,34.375,17.88
T2M,2012,-9.5,35,17.5
T2M,2012,-9.5,35.625,22.88
