"model","forecast_date","location","horizon","temporal_resolution","target_variable","target_end_date","type","quantile","value"
"SARIMA",2023-09-01,"Blantyre",3,"month","incidence",2023-12-01,"quantile",0.01,0
"SARIMA",2023-09-01,"Blantyre",3,"month","incidence",2023-12-01,"quantile",0.025,0.45906689464848
"SARIMA",2023-09-01,"Blantyre",3,"month","incidence",2023-12-01,"quantile",0.05,2.86234141885338
"SARIMA",2023-09-01,"Blantyre",3,"month","incidence",2023-12-01,"quantile",0.1,5.63316303021478
"SARIMA",2023-09-01,"Blantyre",3,"month","incidence",2023-12-01,"quantile",0.15,7.50262321689521
"SARIMA",2023-09-01,"Blantyre",3,"month","incidence",2023-12-01,"quantile",0.2,8.98841091017489
"SARIMA",2023-09-01,"Blantyre",3,"month","incidence",2023-12-01,"quantile",0.25,10.2630844539641
"SARIMA",2023-09-01,"Blantyre",3,"month","incidence",2023-12-01,"quantile",0.3,11.4077806917288
"SARIMA",2023-09-01,"Blantyre",3,"month","incidence",2023-12-01,"quantile",0.35,12.4685123498597
"SARIMA",2023-09-01,"Blantyre",3,"month","incidence",2023-12-01,"quantile",0.4,13.475042964251
"SARIMA",2023-09-01,"Blantyre",3,"month","incidence",2023-12-01,"quantile",0.45,14.4488729821584
"SARIMA",2023-09-01,"Blantyre",3,"month","incidence",2023-12-01,"quantile",0.5,15.4072632930487
"SARIMA",2023-09-01,"Blantyre",3,"month","incidence",2023-12-01,"quantile",0.55,16.365653603939
"SARIMA",2023-09-01,"Blantyre",3,"month","incidence",2023-12-01,"quantile",0.6,17.3394836218464
"SARIMA",2023-09-01,"Blantyre",3,"month","incidence",2023-12-01,"quantile",0.65,18.3460142362377
"SARIMA",2023-09-01,"Blantyre",3,"month","incidence",2023-12-01,"quantile",0.7,19.4067458943686
"SARIMA",2023-09-01,"Blantyre",3,"month","incidence",2023-12-01,"quantile",0.75,20.5514421321333
"SARIMA",2023-09-01,"Blantyre",3,"month","incidence",2023-12-01,"quantile",0.8,21.8261156759225
"SARIMA",2023-09-01,"Blantyre",3,"month","incidence",2023-12-01,"quantile",0.85,23.3119033692022
"SARIMA",2023-09-01,"Blantyre",3,"month","incidence",2023-12-01,"quantile",0.9,25.1813635558827
"SARIMA",2023-09-01,"Blantyre",3,"month","incidence",2023-12-01,"quantile",0.95,27.952185167244
"SARIMA",2023-09-01,"Blantyre",3,"month","incidence",2023-12-01,"quantile",0.975,30.3554596914489
