District,Incidence_Month,Year,Incidence_per_1k,lag1_rainfall,lag2_rainfall,lag3_rainfall,lag1_temperature,lag2_temperature,lag3_temperature
Balaka,April,2018,80.5487,0.01,0.02,0.01,297.434,297.607,297.506
Balaka,May,2018,66.012200000000007,0.01,0.01,0.02,295.855,297.434,297.607
Balaka,June,2018,28.4061,0,0.01,0.01,294.801,295.855,297.434
Balaka,July,2018,20.9347,0,0,0.01,292.411,294.801,295.855
Balaka,August,2018,17.0414,0,0,0,291.335,292.411,294.801
Balaka,September,2018,19.9619,0,0,0,295.088,291.335,292.411
Balaka,October,2018,17.1624,0,0,0,298.098,295.088,291.335
Balaka,November,2018,13.1207,0,0,0,297.742,298.098,295.088
Balaka,December,2018,18.8933,0.01,0,0,298.358,297.742,298.098
Balaka,January,2019,99.8046,0.02,0.01,0,297.547,298.358,297.742
Balaka,February,2019,54.7786,0.02,0.02,0.01,296.986,297.547,298.358
Balaka,March,2019,61.8457,0.01,0.02,0.02,297.239,296.986,297.547
Balaka,April,2019,61.4554,0.03,0.01,0.02,296.82,297.239,296.986
Balaka,May,2019,64.0721,0,0.03,0.01,296.442,296.82,297.239
Balaka,June,2019,33.9874,0,0,0.03,293.852,296.442,296.82
Balaka,July,2019,27.4458,0,0,0,291.502,293.852,296.442
Balaka,August,2019,22.7381,0,0,0,291.536,291.502,293.852
Balaka,September,2019,20.8333,0,0,0,294.467,291.536,291.502
Balaka,October,2019,21.5074,0,0,0,295.762,294.467,291.536
Balaka,November,2019,16.5025,0,0,0,299.799,295.762,294.467
Balaka,December,2019,26.0111,0.01,0,0,300.448,299.799,295.762
Balaka,January,2020,64.9856,0.02,0.01,0,298.378,300.448,299.799
Balaka,February,2020,65.3152,0.03,0.02,0.01,296.889,298.378,300.448
Balaka,March,2020,95.9162,0.01,0.03,0.02,297.481,296.889,298.378
Balaka,April,2020,69.1678,0,0.01,0.03,297.039,297.481,296.889
Balaka,May,2020,51.773,0,0,0.01,297.16,297.039,297.481
Balaka,June,2020,35.5783,0,0,0,294.08,297.16,297.039
Balaka,July,2020,12.7062,0,0,0,292.129,294.08,297.16
Balaka,August,2020,16.6515,0,0,0,291.32,292.129,294.08
Balaka,September,2020,20.6053,0,0,0,294.127,291.32,292.129
Balaka,October,2020,18.1318,0,0,0,296.598,294.127,291.32
Balaka,November,2020,17.5521,0,0,0,299.146,296.598,294.127
Balaka,December,2020,10.9976,0,0,0,301.503,299.146,296.598
Balaka,January,2021,24.226,0.01,0,0,298.863,301.503,299.146
Balaka,February,2021,18.1093,0.02,0.01,0,297.64,298.863,301.503
Balaka,March,2021,41.623,0.02,0.02,0.01,297.959,297.64,298.863
Balaka,April,2021,42.5007,0.02,0.02,0.02,296.081,297.959,297.64
Balaka,May,2021,51.7743,0,0.02,0.02,294.826,296.081,297.959
Balaka,June,2021,36.1557,0,0,0.02,292.578,294.826,296.081
Balaka,July,2021,24.7245,0,0,0,291.509,292.578,294.826
Balaka,August,2021,17.7511,0,0,0,291.132,291.509,292.578
Balaka,September,2021,20.9414,0,0,0,293.424,291.132,291.509
Balaka,October,2021,16.6597,0,0,0,296.106,293.424,291.132
Balaka,November,2021,11.6825,0,0,0,298.403,296.106,293.424
Balaka,December,2021,7.3757,0,0,0,300.872,298.403,296.106
Balaka,January,2022,8.4087,0,0,0,301.071,300.872,298.403
Balaka,February,2022,13.9261,0.03,0,0,296.793,301.071,300.872
Balaka,March,2022,13.7978,0.02,0.03,0,296.955,296.793,301.071
Balaka,April,2022,29.1399,0.01,0.02,0.03,296.565,296.955,296.793
Balaka,May,2022,50.0526,0,0.01,0.02,296.02,296.565,296.955
Balaka,June,2022,38.0926,0,0,0.01,293.714,296.02,296.565
Balaka,July,2022,27.9297,0,0,0,290.898,293.714,296.02
Balaka,August,2022,37.0861,0,0,0,291.387,290.898,293.714
Balaka,September,2022,24.1441,0,0,0,293.783,291.387,290.898
Balaka,October,2022,23.8568,0,0,0,295.814,293.783,291.387
Balaka,November,2022,12.8137,0,0,0,299.564,295.814,293.783
Balaka,December,2022,6.4873,0,0,0,299.608,299.564,295.814
Balaka,January,2023,12.529,0.02,0,0,297.236,299.608,299.564
Balaka,February,2023,13.2428,0.02,0.02,0,296.645,297.236,299.608
Balaka,March,2023,10.2489,0.02,0.02,0.02,297.03,296.645,297.236
Balaka,April,2023,16.3181,0.03,0.02,0.02,296.405,297.03,296.645
Balaka,May,2023,15.7609,0.01,0.03,0.02,295.35,296.405,297.03
Balaka,June,2023,28.4069,0,0.01,0.03,294.311,295.35,296.405
Balaka,July,2023,22.7263,0,0,0.01,293.506,294.311,295.35
Balaka,August,2023,13.4768,0,0,0,291.848,293.506,294.311
Balaka,September,2023,14.4325,0,0,0,293.646,291.848,293.506
Balaka,October,2023,25.871,0,0,0,297.764,293.646,291.848
Balaka,November,2023,25.6806,0,0,0,299.965,297.764,293.646
Balaka,December,2023,12.9097,0,0,0,299.527,299.965,297.764
Balaka,January,2024,20.3841,0.01,0,0,300.671,299.527,299.965
Balaka,February,2024,27.5886,0.02,0.01,0,297.961,300.671,299.527
Balaka,March,2024,33.3531,0.02,0.02,0.01,298.358,297.961,300.671
Balaka,April,2024,46.7179,0.01,0.02,0.02,297.595,298.358,297.961
Balaka,May,2024,52.4572,0,0.01,0.02,296.449,297.595,298.358
Balaka,June,2024,25.7489,0,0,0.01,294.339,296.449,297.595
Balaka,July,2024,21.5713,0,0,0,292.426,294.339,296.449
Balaka,August,2024,18.3184,0,0,0,293.467,292.426,294.339
Balaka,September,2024,15.5057,0,0,0,294.408,293.467,292.426
Balaka,October,2024,12.4632,0,0,0,296.761,294.408,293.467
Balaka,November,2024,9.776,0,0,0,297.523,296.761,294.408
Balaka,December,2024,14.4188,0,0,0,299.406,297.523,296.761
Blantyre,April,2018,33.2112,0.01,0.02,0.01,297.524,298.014,297.92
Blantyre,May,2018,27.0543,0.01,0.01,0.02,295.99,297.524,298.014
Blantyre,June,2018,19.4002,0,0.01,0.01,294.943,295.99,297.524
Blantyre,July,2018,12.971,0,0,0.01,292.393,294.943,295.99
Blantyre,August,2018,12.3283,0,0,0,291.05,292.393,294.943
Blantyre,September,2018,9.5943,0,0,0,294.941,291.05,292.393
Blantyre,October,2018,7.2564,0,0,0,298.034,294.941,291.05
Blantyre,November,2018,7.5103,0,0,0,297.554,298.034,294.941
Blantyre,December,2018,8.6969,0.01,0,0,298.533,297.554,298.034
Blantyre,January,2019,16.6274,0.02,0.01,0,297.802,298.533,297.554
Blantyre,February,2019,14.0416,0.03,0.02,0.01,297.233,297.802,298.533
Blantyre,March,2019,30.9185,0.01,0.03,0.02,297.496,297.233,297.802
Blantyre,April,2019,27.6279,0.03,0.01,0.03,296.743,297.496,297.233
Blantyre,May,2019,26.5955,0,0.03,0.01,296.305,296.743,297.496
Blantyre,June,2019,16.7839,0,0,0.03,293.612,296.305,296.743
Blantyre,July,2019,13.0905,0,0,0,291.404,293.612,296.305
Blantyre,August,2019,15.7272,0,0,0,291.313,291.404,293.612
Blantyre,September,2019,14.3044,0,0,0,294.353,291.313,291.404
Blantyre,October,2019,12.3208,0,0,0,295.595,294.353,291.313
Blantyre,November,2019,13.7795,0,0,0,299.997,295.595,294.353
Blantyre,December,2019,9.4799,0.01,0,0,300.445,299.997,295.595
Blantyre,January,2020,41.645,0.01,0.01,0,298.981,300.445,299.997
Blantyre,February,2020,36.2324,0.03,0.01,0.01,297.15,298.981,300.445
Blantyre,March,2020,46.1001,0.01,0.03,0.01,297.716,297.15,298.981
Blantyre,April,2020,37.1417,0,0.01,0.03,297.011,297.716,297.15
Blantyre,May,2020,31.2721,0,0,0.01,297.133,297.011,297.716
Blantyre,June,2020,16.2272,0,0,0,293.997,297.133,297.011
Blantyre,July,2020,16.2785,0,0,0,291.866,293.997,297.133
Blantyre,August,2020,15.6966,0,0,0,291.042,291.866,293.997
Blantyre,September,2020,12.7802,0,0,0,293.901,291.042,291.866
Blantyre,October,2020,12.3402,0,0,0,296.6,293.901,291.042
Blantyre,November,2020,12.6361,0,0,0,298.813,296.6,293.901
Blantyre,December,2020,9.8708,0,0,0,301.587,298.813,296.6
