"model","forecast_date","location","horizon","temporal_resolution","target_variable","target_end_date","type","quantile","value"
"SARIMA",2023-03-01,"Balaka",3,"month","incidence",2023-06-01,"quantile",0.25,21.2718684432472
"SARIMA",2023-03-01,"Balaka",3,"month","incidence",2023-06-01,"quantile",0.3,23.7353478889892
"SARIMA",2023-03-01,"Balaka",3,"month","incidence",2023-06-01,"quantile",0.35,26.018128727298
"SARIMA",2023-03-01,"Balaka",3,"month","incidence",2023-06-01,"quantile",0.4,28.1842645092281
"SARIMA",2023-03-01,"Balaka",3,"month","incidence",2023-06-01,"quantile",0.45,30.2800259467306
"SARIMA",2023-03-01,"Balaka",3,"month","incidence",2023-06-01,"quantile",0.5,32.3425598784284
"SARIMA",2023-03-01,"Balaka",3,"month","incidence",2023-06-01,"quantile",0.55,34.4050938101262
"SARIMA",2023-03-01,"Balaka",3,"month","incidence",2023-06-01,"quantile",0.6,36.5008552476288
"SARIMA",2023-03-01,"Balaka",3,"month","incidence",2023-06-01,"quantile",0.65,38.6669910295589
"SARIMA",2023-03-01,"Balaka",3,"month","incidence",2023-06-01,"quantile",0.7,40.9497718678676
"SARIMA",2023-03-01,"Balaka",3,"month","incidence",2023-06-01,"quantile",0.75,43.4132513136096
"SARIMA",2023-03-01,"Balaka",3,"month","incidence",2023-06-01,"quantile",0.8,46.1564524979585
"SARIMA",2023-03-01,"Balaka",3,"month","incidence",2023-06-01,"quantile",0.85,49.353988510026
"SARIMA",2023-03-01,"Balaka",3,"month","incidence",2023-06-01,"quantile",0.9,53.3772189466992
"SARIMA",2023-03-01,"Balaka",3,"month","incidence",2023-06-01,"quantile",0.95,59.3402525115999
"SARIMA",2023-03-01,"Balaka",3,"month","incidence",2023-06-01,"quantile",0.975,64.5122948382307
"SARIMA",2023-03-01,"Balaka",3,"month","incidence",2023-06-01,"quantile",0.99,70.5259117780072
"SARIMA",2023-03-01,"Balaka",1,"month","incidence",2023-04-01,"point",NA,23.5990283067785
"SARIMA",2023-03-01,"Balaka",2,"month","incidence",2023-05-01,"point",NA,39.8255233392507
"SARIMA",2023-03-01,"Balaka",3,"month","incidence",2023-06-01,"point",NA,32.3425598784284
"SARIMA",2023-04-01,"Balaka",1,"month","incidence",2023-05-01,"quantile",0.01,5.09317196474052
"SARIMA",2023-04-01,"Balaka",1,"month","incidence",2023-05-01,"quantile",0.025,9.8519253667109
"SARIMA",2023-04-01,"Balaka",1,"month","incidence",2023-05-01,"quantile",0.05,13.944715822683
"SARIMA",2023-04-01,"Balaka",1,"month","incidence",2023-05-01,"quantile",0.1,18.6634411002012
"SARIMA",2023-04-01,"Balaka",1,"month","incidence",2023-05-01,"quantile",0.15,21.8471426427443
"SARIMA",2023-04-01,"Balaka",1,"month","incidence",2023-05-01,"quantile",0.2,24.3774477033647
"SARIMA",2023-04-01,"Balaka",1,"month","incidence",2023-05-01,"quantile",0.25,26.5482241427424
"SARIMA",2023-04-01,"Balaka",1,"month","incidence",2023-05-01,"quantile",0.3,28.4976484759699
"SARIMA",2023-04-01,"Balaka",1,"month","incidence",2023-05-01,"quantile",0.35,30.3040806430075
"SARIMA",2023-04-01,"Balaka",1,"month","incidence",2023-05-01,"quantile",0.4,32.0182081181394
"SARIMA",2023-04-01,"Balaka",1,"month","incidence",2023-05-01,"quantile",0.45,33.6766462877652
"SARIMA",2023-04-01,"Balaka",1,"month","incidence",2023-05-01,"quantile",0.5,35.308790546776
"SARIMA",2023-04-01,"Balaka",1,"month","incidence",2023-05-01,"quantile",0.55,36.9409348057868
"SARIMA",2023-04-01,"Balaka",1,"month","incidence",2023-05-01,"quantile",0.6,38.5993729754126
"SARIMA",2023-04-01,"Balaka",1,"month","incidence",2023-05-01,"quantile",0.65,40.3135004505445
"SARIMA",2023-04-01,"Balaka",1,"month","incidence",2023-05-01,"quantile",0.7,42.1199326175821
"SARIMA",2023-04-01,"Balaka",1,"month","incidence",2023-05-01,"quantile",0.75,44.0693569508096
"SARIMA",2023-04-01,"Balaka",1,"month","incidence",2023-05-01,"quantile",0.8,46.2401333901873
"SARIMA",2023-04-01,"Balaka",1,"month","incidence",2023-05-01,"quantile",0.85,48.7704384508077
"SARIMA",2023-04-01,"Balaka",1,"month","incidence",2023-05-01,"quantile",0.9,51.9541399933508
"SARIMA",2023-04-01,"Balaka",1,"month","incidence",2023-05-01,"quantile",0.95,56.672865270869
"SARIMA",2023-04-01,"Balaka",1,"month","incidence",2023-05-01,"quantile",0.975,60.7656557268411
"SARIMA",2023-04-01,"Balaka",1,"month","incidence",2023-05-01,"quantile",0.99,65.5244091288115
"SARIMA",2023-04-01,"Balaka",2,"month","incidence",2023-06-01,"quantile",0.01,0
"SARIMA",2023-04-01,"Balaka",2,"month","incidence",2023-06-01,"quantile",0.025,0
"SARIMA",2023-04-01,"Balaka",2,"month","incidence",2023-06-01,"quantile",0.05,4.63892579560672
"SARIMA",2023-04-01,"Balaka",2,"month","incidence",2023-06-01,"quantile",0.1,10.1710994947935
"SARIMA",2023-04-01,"Balaka",2,"month","incidence",2023-06-01,"quantile",0.15,13.9036308255812
"SARIMA",2023-04-01,"Balaka",2,"month","incidence",2023-06-01,"quantile",0.2,16.8701284036402
"SARIMA",2023-04-01,"Balaka",2,"month","incidence",2023-06-01,"quantile",0.25,19.415119183662
"SARIMA",2023-04-01,"Balaka",2,"month","incidence",2023-06-01,"quantile",0.3,21.7005995603682
"SARIMA",2023-04-01,"Balaka",2,"month","incidence",2023-06-01,"quantile",0.35,23.8184377340511
"SARIMA",2023-04-01,"Balaka",2,"month","incidence",2023-06-01,"quantile",0.4,25.8280590570296
"SARIMA",2023-04-01,"Balaka",2,"month","incidence",2023-06-01,"quantile",0.45,27.7723909441693
"SARIMA",2023-04-01,"Balaka",2,"month","incidence",2023-06-01,"quantile",0.5,29.6858961838147
"SARIMA",2023-04-01,"Balaka",2,"month","incidence",2023-06-01,"quantile",0.55,31.5994014234601
"SARIMA",2023-04-01,"Balaka",2,"month","incidence",2023-06-01,"quantile",0.6,33.5437333105999
"SARIMA",2023-04-01,"Balaka",2,"month","incidence",2023-06-01,"quantile",0.65,35.5533546335784
"SARIMA",2023-04-01,"Balaka",2,"month","incidence",2023-06-01,"quantile",0.7,37.6711928072613
"SARIMA",2023-04-01,"Balaka",2,"month","incidence",2023-06-01,"quantile",0.75,39.9566731839675
"SARIMA",2023-04-01,"Balaka",2,"month","incidence",2023-06-01,"quantile",0.8,42.5016639639893
"SARIMA",2023-04-01,"Balaka",2,"month","incidence",2023-06-01,"quantile",0.85,45.4681615420483
"SARIMA",2023-04-01,"Balaka",2,"month","incidence",2023-06-01,"quantile",0.9,49.200692872836
