"model","forecast_date","location","horizon","temporal_resolution","target_variable","target_end_date","type","quantile","value"
"BASELINE",2023-03-01,"Balaka",3,"month","incidence",2023-06-01,"quantile",0.35,0
"BASELINE",2023-03-01,"Balaka",3,"month","incidence",2023-06-01,"quantile",0.4,2.46189544315143
"BASELINE",2023-03-01,"Balaka",3,"month","incidence",2023-06-01,"quantile",0.45,6.38650935701058
"BASELINE",2023-03-01,"Balaka",3,"month","incidence",2023-06-01,"quantile",0.5,10.2489
"BASELINE",2023-03-01,"Balaka",3,"month","incidence",2023-06-01,"quantile",0.55,14.1112906429894
"BASELINE",2023-03-01,"Balaka",3,"month","incidence",2023-06-01,"quantile",0.6,18.0359045568486
"BASELINE",2023-03-01,"Balaka",3,"month","incidence",2023-06-01,"quantile",0.65,22.0923045253496
"BASELINE",2023-03-01,"Balaka",3,"month","incidence",2023-06-01,"quantile",0.7,26.3671390938269
"BASELINE",2023-03-01,"Balaka",3,"month","incidence",2023-06-01,"quantile",0.75,30.9803577246586
"BASELINE",2023-03-01,"Balaka",3,"month","incidence",2023-06-01,"quantile",0.8,36.1173954351338
"BASELINE",2023-03-01,"Balaka",3,"month","incidence",2023-06-01,"quantile",0.85,42.1052402816257
"BASELINE",2023-03-01,"Balaka",3,"month","incidence",2023-06-01,"quantile",0.9,49.6393163782091
"BASELINE",2023-03-01,"Balaka",3,"month","incidence",2023-06-01,"quantile",0.95,60.8059520834192
"BASELINE",2023-03-01,"Balaka",3,"month","incidence",2023-06-01,"quantile",0.975,70.4913432328779
"BASELINE",2023-03-01,"Balaka",3,"month","incidence",2023-06-01,"quantile",0.99,81.7527035633698
"BASELINE",2023-03-01,"Balaka",1,"month","incidence",2023-04-01,"point",NA,10.2489
"BASELINE",2023-03-01,"Balaka",2,"month","incidence",2023-05-01,"point",NA,10.2489
"BASELINE",2023-03-01,"Balaka",3,"month","incidence",2023-06-01,"point",NA,10.2489
"BASELINE",2023-04-01,"Balaka",1,"month","incidence",2023-05-01,"quantile",0.01,0
"BASELINE",2023-04-01,"Balaka",1,"month","incidence",2023-05-01,"quantile",0.025,0
"BASELINE",2023-04-01,"Balaka",1,"month","incidence",2023-05-01,"quantile",0.05,0
"BASELINE",2023-04-01,"Balaka",1,"month","incidence",2023-05-01,"quantile",0.1,0
"BASELINE",2023-04-01,"Balaka",1,"month","incidence",2023-05-01,"quantile",0.15,0
"BASELINE",2023-04-01,"Balaka",1,"month","incidence",2023-05-01,"quantile",0.2,1.4532085061958
"BASELINE",2023-04-01,"Balaka",1,"month","incidence",2023-05-01,"quantile",0.25,4.40511996765956
"BASELINE",2023-04-01,"Balaka",1,"month","incidence",2023-05-01,"quantile",0.3,7.05602769271311
"BASELINE",2023-04-01,"Balaka",1,"month","incidence",2023-05-01,"quantile",0.35,9.51248876420138
"BASELINE",2023-04-01,"Balaka",1,"month","incidence",2023-05-01,"quantile",0.4,11.8434301031918
"BASELINE",2023-04-01,"Balaka",1,"month","incidence",2023-05-01,"quantile",0.45,14.0986428244294
"BASELINE",2023-04-01,"Balaka",1,"month","incidence",2023-05-01,"quantile",0.5,16.3181
"BASELINE",2023-04-01,"Balaka",1,"month","incidence",2023-05-01,"quantile",0.55,18.5375571755706
"BASELINE",2023-04-01,"Balaka",1,"month","incidence",2023-05-01,"quantile",0.6,20.7927698968082
"BASELINE",2023-04-01,"Balaka",1,"month","incidence",2023-05-01,"quantile",0.65,23.1237112357986
"BASELINE",2023-04-01,"Balaka",1,"month","incidence",2023-05-01,"quantile",0.7,25.5801723072869
"BASELINE",2023-04-01,"Balaka",1,"month","incidence",2023-05-01,"quantile",0.75,28.2310800323405
"BASELINE",2023-04-01,"Balaka",1,"month","incidence",2023-05-01,"quantile",0.8,31.1829914938042
"BASELINE",2023-04-01,"Balaka",1,"month","incidence",2023-05-01,"quantile",0.85,34.6238048239814
"BASELINE",2023-04-01,"Balaka",1,"month","incidence",2023-05-01,"quantile",0.9,38.9531336773971
"BASELINE",2023-04-01,"Balaka",1,"month","incidence",2023-05-01,"quantile",0.95,45.3698512064477
"BASELINE",2023-04-01,"Balaka",1,"month","incidence",2023-05-01,"quantile",0.975,50.935396712284
"BASELINE",2023-04-01,"Balaka",1,"month","incidence",2023-05-01,"quantile",0.99,57.4065461382393
"BASELINE",2023-04-01,"Balaka",2,"month","incidence",2023-06-01,"quantile",0.01,0
"BASELINE",2023-04-01,"Balaka",2,"month","incidence",2023-06-01,"quantile",0.025,0
"BASELINE",2023-04-01,"Balaka",2,"month","incidence",2023-06-01,"quantile",0.05,0
"BASELINE",2023-04-01,"Balaka",2,"month","incidence",2023-06-01,"quantile",0.1,0
"BASELINE",2023-04-01,"Balaka",2,"month","incidence",2023-06-01,"quantile",0.15,0
"BASELINE",2023-04-01,"Balaka",2,"month","incidence",2023-06-01,"quantile",0.2,0
"BASELINE",2023-04-01,"Balaka",2,"month","incidence",2023-06-01,"quantile",0.25,0
"BASELINE",2023-04-01,"Balaka",2,"month","incidence",2023-06-01,"quantile",0.3,3.21955172735462
"BASELINE",2023-04-01,"Balaka",2,"month","incidence",2023-06-01,"quantile",0.35,6.69351229009487
