"model","forecast_date","location","horizon","temporal_resolution","target_variable","target_end_date","type","quantile","value"
"T1_SARIMAX",2023-03-01,"Balaka",3,"month","incidence",2023-06-01,"quantile",0.05,2.94294830642278
"T1_SARIMAX",2023-03-01,"Balaka",3,"month","incidence",2023-06-01,"quantile",0.1,8.92359416697667
"T1_SARIMAX",2023-03-01,"Balaka",3,"month","incidence",2023-06-01,"quantile",0.15,12.9587075359125
"T1_SARIMAX",2023-03-01,"Balaka",3,"month","incidence",2023-06-01,"quantile",0.2,16.1656877258458
"T1_SARIMAX",2023-03-01,"Balaka",3,"month","incidence",2023-06-01,"quantile",0.25,18.9169911738778
"T1_SARIMAX",2023-03-01,"Balaka",3,"month","incidence",2023-06-01,"quantile",0.3,21.3877467028184
"T1_SARIMAX",2023-03-01,"Balaka",3,"month","incidence",2023-06-01,"quantile",0.35,23.6772699165638
"T1_SARIMAX",2023-03-01,"Balaka",3,"month","incidence",2023-06-01,"quantile",0.4,25.8498035534449
"T1_SARIMAX",2023-03-01,"Balaka",3,"month","incidence",2023-06-01,"quantile",0.45,27.9517549896543
"T1_SARIMAX",2023-03-01,"Balaka",3,"month","incidence",2023-06-01,"quantile",0.5,30.0203807799681
"T1_SARIMAX",2023-03-01,"Balaka",3,"month","incidence",2023-06-01,"quantile",0.55,32.0890065702819
"T1_SARIMAX",2023-03-01,"Balaka",3,"month","incidence",2023-06-01,"quantile",0.6,34.1909580064913
"T1_SARIMAX",2023-03-01,"Balaka",3,"month","incidence",2023-06-01,"quantile",0.65,36.3634916433724
"T1_SARIMAX",2023-03-01,"Balaka",3,"month","incidence",2023-06-01,"quantile",0.7,38.6530148571178
"T1_SARIMAX",2023-03-01,"Balaka",3,"month","incidence",2023-06-01,"quantile",0.75,41.1237703860584
"T1_SARIMAX",2023-03-01,"Balaka",3,"month","incidence",2023-06-01,"quantile",0.8,43.8750738340904
"T1_SARIMAX",2023-03-01,"Balaka",3,"month","incidence",2023-06-01,"quantile",0.85,47.0820540240237
"T1_SARIMAX",2023-03-01,"Balaka",3,"month","incidence",2023-06-01,"quantile",0.9,51.1171673929595
"T1_SARIMAX",2023-03-01,"Balaka",3,"month","incidence",2023-06-01,"quantile",0.95,57.0978132535134
"T1_SARIMAX",2023-03-01,"Balaka",3,"month","incidence",2023-06-01,"quantile",0.975,62.2851316200317
"T1_SARIMAX",2023-03-01,"Balaka",3,"month","incidence",2023-06-01,"quantile",0.99,68.316510257497
"T1_SARIMAX",2023-03-01,"Balaka",1,"month","incidence",2023-04-01,"point",NA,23.2922918507983
"T1_SARIMAX",2023-03-01,"Balaka",2,"month","incidence",2023-05-01,"point",NA,39.2798394952722
"T1_SARIMAX",2023-03-01,"Balaka",3,"month","incidence",2023-06-01,"point",NA,30.0203807799681
"T1_SARIMAX",2023-04-01,"Balaka",1,"month","incidence",2023-05-01,"quantile",0.01,4.96878278699782
"T1_SARIMAX",2023-04-01,"Balaka",1,"month","incidence",2023-05-01,"quantile",0.025,9.72214479317719
"T1_SARIMAX",2023-04-01,"Balaka",1,"month","incidence",2023-05-01,"quantile",0.05,13.8102983513372
"T1_SARIMAX",2023-04-01,"Balaka",1,"month","incidence",2023-05-01,"quantile",0.1,18.5236775826431
"T1_SARIMAX",2023-04-01,"Balaka",1,"month","incidence",2023-05-01,"quantile",0.15,21.7037721731871
"T1_SARIMAX",2023-04-01,"Balaka",1,"month","incidence",2023-05-01,"quantile",0.2,24.2312105427014
"T1_SARIMAX",2023-04-01,"Balaka",1,"month","incidence",2023-05-01,"quantile",0.25,26.399527616365
"T1_SARIMAX",2023-04-01,"Balaka",1,"month","incidence",2023-05-01,"quantile",0.3,28.3467433631713
"T1_SARIMAX",2023-04-01,"Balaka",1,"month","incidence",2023-05-01,"quantile",0.35,30.1511289457446
"T1_SARIMAX",2023-04-01,"Balaka",1,"month","incidence",2023-05-01,"quantile",0.4,31.8633144123558
"T1_SARIMAX",2023-04-01,"Balaka",1,"month","incidence",2023-05-01,"quantile",0.45,33.5198736662631
"T1_SARIMAX",2023-04-01,"Balaka",1,"month","incidence",2023-05-01,"quantile",0.5,35.1501687990543
"T1_SARIMAX",2023-04-01,"Balaka",1,"month","incidence",2023-05-01,"quantile",0.55,36.7804639318454
"T1_SARIMAX",2023-04-01,"Balaka",1,"month","incidence",2023-05-01,"quantile",0.6,38.4370231857528
"T1_SARIMAX",2023-04-01,"Balaka",1,"month","incidence",2023-05-01,"quantile",0.65,40.1492086523639
"T1_SARIMAX",2023-04-01,"Balaka",1,"month","incidence",2023-05-01,"quantile",0.7,41.9535942349372
"T1_SARIMAX",2023-04-01,"Balaka",1,"month","incidence",2023-05-01,"quantile",0.75,43.9008099817435
"T1_SARIMAX",2023-04-01,"Balaka",1,"month","incidence",2023-05-01,"quantile",0.8,46.0691270554072
"T1_SARIMAX",2023-04-01,"Balaka",1,"month","incidence",2023-05-01,"quantile",0.85,48.5965654249215
"T1_SARIMAX",2023-04-01,"Balaka",1,"month","incidence",2023-05-01,"quantile",0.9,51.7766600154654
"T1_SARIMAX",2023-04-01,"Balaka",1,"month","incidence",2023-05-01,"quantile",0.95,56.4900392467713
"T1_SARIMAX",2023-04-01,"Balaka",1,"month","incidence",2023-05-01,"quantile",0.975,60.5781928049313
"T1_SARIMAX",2023-04-01,"Balaka",1,"month","incidence",2023-05-01,"quantile",0.99,65.3315548111107
"T1_SARIMAX",2023-04-01,"Balaka",2,"month","incidence",2023-06-01,"quantile",0.01,0
"T1_SARIMAX",2023-04-01,"Balaka",2,"month","incidence",2023-06-01,"quantile",0.025,0
"T1_SARIMAX",2023-04-01,"Balaka",2,"month","incidence",2023-06-01,"quantile",0.05,2.3291369424434
"T1_SARIMAX",2023-04-01,"Balaka",2,"month","incidence",2023-06-01,"quantile",0.1,7.85944246178037
"T1_SARIMAX",2023-04-01,"Balaka",2,"month","incidence",2023-06-01,"quantile",0.15,11.5907133404927
"T1_SARIMAX",2023-04-01,"Balaka",2,"month","incidence",2023-06-01,"quantile",0.2,14.5562091511993
"T1_SARIMAX",2023-04-01,"Balaka",2,"month","incidence",2023-06-01,"quantile",0.25,17.1003405040317
"T1_SARIMAX",2023-04-01,"Balaka",2,"month","incidence",2023-06-01,"quantile",0.3,19.3850490885602
"T1_SARIMAX",2023-04-01,"Balaka",2,"month","incidence",2023-06-01,"quantile",0.35,21.5021720817704
"T1_SARIMAX",2023-04-01,"Balaka",2,"month","incidence",2023-06-01,"quantile",0.4,23.511114768418
"T1_SARIMAX",2023-04-01,"Balaka",2,"month","incidence",2023-06-01,"quantile",0.45,25.4547900670538
"T1_SARIMAX",2023-04-01,"Balaka",2,"month","incidence",2023-06-01,"quantile",0.5,27.3676491281579
"T1_SARIMAX",2023-04-01,"Balaka",2,"month","incidence",2023-06-01,"quantile",0.55,29.280508189262
