-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2017 through 12/30/2017 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
QV2M     MERRA-2 Specific Humidity at 2 Meters (g/kg) 
-END HEADER-
LAT,LON,YEAR,MO,DY,QV2M
-16.5,35.625,2017,1,2,16.68
-16.5,36.25,2017,1,2,16.17
-16.5,36.875,2017,1,2,15.56
-16.0,32.5,2017,1,2,15.95
-16.0,33.125,2017,1,2,16.34
-16.0,33.75,2017,1,2,16.35
-16.0,34.375,2017,1,2,16.22
-16.0,35.0,2017,1,2,16.81
-16.0,35.625,2017,1,2,16.12
-16.0,36.25,2017,1,2,15.88
-16.0,36.875,2017,1,2,15.4
-15.5,32.5,2017,1,2,16.43
-15.5,33.125,2017,1,2,16.17
-15.5,33.75,2017,1,2,16.12
-15.5,34.375,2017,1,2,15.96
-15.5,35.0,2017,1,2,16.6
-15.5,35.625,2017,1,2,16.43
-15.5,36.25,2017,1,2,15.75
-15.5,36.875,2017,1,2,15.4
-15.0,32.5,2017,1,2,16.78
-15.0,33.125,2017,1,2,16.85
-15.0,33.75,2017,1,2,15.76
-15.0,34.375,2017,1,2,15.3
-15.0,35.0,2017,1,2,16.16
-15.0,35.625,2017,1,2,16.43
-15.0,36.25,2017,1,2,16.36
-15.0,36.875,2017,1,2,16.07
-14.5,32.5,2017,1,2,16.78
-14.5,33.125,2017,1,2,16.2
-14.5,33.75,2017,1,2,15.04
-14.5,34.375,2017,1,2,14.94
-14.5,35.0,2017,1,2,16.42
-14.5,35.625,2017,1,2,16.21
-14.5,36.25,2017,1,2,16.68
-14.5,36.875,2017,1,2,17.24
-14.0,32.5,2017,1,2,16.19
-14.0,33.125,2017,1,2,15.46
-14.0,33.75,2017,1,2,15.24
-14.0,34.375,2017,1,2,16.25
-14.0,35.0,2017,1,2,16.66
-14.0,35.625,2017,1,2,16.34
-14.0,36.25,2017,1,2,16.99
-14.0,36.875,2017,1,2,17.33
-13.5,32.5,2017,1,2,16.07
-13.5,33.125,2017,1,2,15.37
-13.5,33.75,2017,1,2,15.52
-13.5,34.375,2017,1,2,17.07
-13.5,35.0,2017,1,2,16.24
-13.5,35.625,2017,1,2,15.99
-13.5,36.25,2017,1,2,16.97
-13.5,36.875,2017,1,2,16.95
-13.0,32.5,2017,1,2,16.37
-13.0,33.125,2017,1,2,15.4
-13.0,33.75,2017,1,2,15.86
-13.0,34.375,2017,1,2,16.78
-13.0,35.0,2017,1,2,15.5
-13.0,35.625,2017,1,2,15.5
-13.0,36.25,2017,1,2,16.45
-13.0,36.875,2017,1,2,17.0
