District,Incidence_Month,Year,Incidence_per_1k,Temperature,Precipitation,lag1_rainfall,lag2_rainfall,lag3_rainfall,lag1_temperature,lag2_temperature,lag3_temperature
Balaka,June,2024,25.7489,292.426,0,0,0,0.01,294.339,296.449,297.595
Balaka,July,2024,21.5713,293.467,0,0,0,0,292.426,294.339,296.449
Balaka,August,2024,18.3184,294.408,0,0,0,0,293.467,292.426,294.339
Balaka,September,2024,15.5057,296.761,0,0,0,0,294.408,293.467,292.426
Balaka,October,2024,12.4632,297.523,0,0,0,0,296.761,294.408,293.467
Balaka,November,2024,9.776,299.406,0,0,0,0,297.523,296.761,294.408
Balaka,December,2024,14.4188,299.747,0.01,0,0,0,299.406,297.523,296.761
Blantyre,April,2018,33.2112,295.99,0.01,0.01,0.02,0.01,297.524,298.014,297.92
Blantyre,May,2018,27.0543,294.943,0,0.01,0.01,0.02,295.99,297.524,298.014
Blantyre,June,2018,19.4002,292.393,0,0,0.01,0.01,294.943,295.99,297.524
Blantyre,July,2018,12.971,291.05,0,0,0,0.01,292.393,294.943,295.99
Blantyre,August,2018,12.3283,294.941,0,0,0,0,291.05,292.393,294.943
Blantyre,September,2018,9.5943,298.034,0,0,0,0,294.941,291.05,292.393
Blantyre,October,2018,7.2564,297.554,0,0,0,0,298.034,294.941,291.05
Blantyre,November,2018,7.5103,298.533,0.01,0,0,0,297.554,298.034,294.941
Blantyre,December,2018,8.6969,297.802,0.02,0.01,0,0,298.533,297.554,298.034
Blantyre,January,2019,16.6274,297.233,0.03,0.02,0.01,0,297.802,298.533,297.554
Blantyre,February,2019,14.0416,297.496,0.01,0.03,0.02,0.01,297.233,297.802,298.533
Blantyre,March,2019,30.9185,296.743,0.03,0.01,0.03,0.02,297.496,297.233,297.802
Blantyre,April,2019,27.6279,296.305,0,0.03,0.01,0.03,296.743,297.496,297.233
Blantyre,May,2019,26.5955,293.612,0,0,0.03,0.01,296.305,296.743,297.496
Blantyre,June,2019,16.7839,291.404,0,0,0,0.03,293.612,296.305,296.743
Blantyre,July,2019,13.0905,291.313,0,0,0,0,291.404,293.612,296.305
Blantyre,August,2019,15.7272,294.353,0,0,0,0,291.313,291.404,293.612
Blantyre,September,2019,14.3044,295.595,0,0,0,0,294.353,291.313,291.404
Blantyre,October,2019,12.3208,299.997,0,0,0,0,295.595,294.353,291.313
Blantyre,November,2019,13.7795,300.445,0.01,0,0,0,299.997,295.595,294.353
Blantyre,December,2019,9.4799,298.981,0.01,0.01,0,0,300.445,299.997,295.595
Blantyre,January,2020,41.645,297.15,0.03,0.01,0.01,0,298.981,300.445,299.997
Blantyre,February,2020,36.2324,297.716,0.01,0.03,0.01,0.01,297.15,298.981,300.445
Blantyre,March,2020,46.1001,297.011,0,0.01,0.03,0.01,297.716,297.15,298.981
Blantyre,April,2020,37.1417,297.133,0,0,0.01,0.03,297.011,297.716,297.15
Blantyre,May,2020,31.2721,293.997,0,0,0,0.01,297.133,297.011,297.716
Blantyre,June,2020,16.2272,291.866,0,0,0,0,293.997,297.133,297.011
Blantyre,July,2020,16.2785,291.042,0,0,0,0,291.866,293.997,297.133
Blantyre,August,2020,15.6966,293.901,0,0,0,0,291.042,291.866,293.997
Blantyre,September,2020,12.7802,296.6,0,0,0,0,293.901,291.042,291.866
Blantyre,October,2020,12.3402,298.813,0,0,0,0,296.6,293.901,291.042
Blantyre,November,2020,12.6361,301.587,0,0,0,0,298.813,296.6,293.901
Blantyre,December,2020,9.8708,299.145,0.01,0,0,0,301.587,298.813,296.6
Blantyre,January,2021,29.7563,298.022,0.02,0.01,0,0,299.145,301.587,298.813
Blantyre,February,2021,25.061,298.464,0.01,0.02,0.01,0,298.022,299.145,301.587
Blantyre,March,2021,31.3795,296.553,0.01,0.01,0.02,0.01,298.464,298.022,299.145
Blantyre,April,2021,29.9608,295.021,0,0.01,0.01,0.02,296.553,298.464,298.022
Blantyre,May,2021,26.1249,292.705,0,0,0.01,0.01,295.021,296.553,298.464
Blantyre,June,2021,18.7719,291.756,0,0,0,0.01,292.705,295.021,296.553
Blantyre,July,2021,14.6729,291.127,0,0,0,0,291.756,292.705,295.021
Blantyre,August,2021,9.8446,293.274,0,0,0,0,291.127,291.756,292.705
Blantyre,September,2021,9.7709,296.042,0,0,0,0,293.274,291.127,291.756
Blantyre,October,2021,10.7603,298.311,0,0,0,0,296.042,293.274,291.127
Blantyre,November,2021,6.8756,300.616,0.01,0,0,0,298.311,296.042,293.274
Blantyre,December,2021,8.5913,301.118,0,0.01,0,0,300.616,298.311,296.042
Blantyre,January,2022,9.2744,296.978,0.03,0,0.01,0,301.118,300.616,298.311
Blantyre,February,2022,17.9713,297.139,0.02,0.03,0,0.01,296.978,301.118,300.616
Blantyre,March,2022,16.7814,296.549,0.02,0.02,0.03,0,297.139,296.978,301.118
Blantyre,April,2022,18.9014,295.976,0,0.02,0.02,0.03,296.549,297.139,296.978
Blantyre,May,2022,21.1911,293.573,0,0,0.02,0.02,295.976,296.549,297.139
Blantyre,June,2022,17.1421,290.781,0,0,0,0.02,293.573,295.976,296.549
Blantyre,July,2022,13.6435,291.121,0,0,0,0,290.781,293.573,295.976
Blantyre,August,2022,12.3548,293.651,0,0,0,0,291.121,290.781,293.573
Blantyre,September,2022,9.8999,295.847,0,0,0,0,293.651,291.121,290.781
Blantyre,October,2022,11.4682,299.593,0,0,0,0,295.847,293.651,291.121
Blantyre,November,2022,8.7972,299.235,0,0,0,0,299.593,295.847,293.651
Blantyre,December,2022,10.4701,297.702,0.02,0,0,0,299.235,299.593,295.847
Blantyre,January,2023,20.2329,296.874,0.02,0.02,0,0,297.702,299.235,299.593
Blantyre,February,2023,26.2949,297.402,0.02,0.02,0.02,0,296.874,297.702,299.235
Blantyre,March,2023,24.8598,296.408,0.03,0.02,0.02,0.02,297.402,296.874,297.702
Blantyre,April,2023,26.9227,295.664,0,0.03,0.02,0.02,296.408,297.402,296.874
Blantyre,May,2023,25.9314,294.723,0,0,0.03,0.02,295.664,296.408,297.402
Blantyre,June,2023,34.8152,293.813,0,0,0,0.03,294.723,295.664,296.408
Blantyre,July,2023,30.575,292.022,0,0,0,0,293.813,294.723,295.664
Blantyre,August,2023,24.6411,293.69,0,0,0,0,292.022,293.813,294.723
Blantyre,September,2023,19.4806,297.993,0,0,0,0,293.69,292.022,293.813
Blantyre,October,2023,22.9584,299.878,0,0,0,0,297.993,293.69,292.022
Blantyre,November,2023,22.2625,299.639,0,0,0,0,299.878,297.993,293.69
Blantyre,December,2023,18.8145,300.772,0.01,0,0,0,299.639,299.878,297.993
Blantyre,January,2024,40.8281,298.253,0.01,0.01,0,0,300.772,299.639,299.878
Blantyre,February,2024,32.8736,299.085,0.01,0.01,0.01,0,298.253,300.772,299.639
Blantyre,March,2024,40.0125,298.198,0.01,0.01,0.01,0.01,299.085,298.253,300.772
Blantyre,April,2024,51.7175,296.665,0,0.01,0.01,0.01,298.198,299.085,298.253
Blantyre,May,2024,41.2057,294.508,0,0,0.01,0.01,296.665,298.198,299.085
Blantyre,June,2024,28.2961,292.543,0,0,0,0.01,294.508,296.665,298.198
Blantyre,July,2024,26.2211,293.252,0,0,0,0,292.543,294.508,296.665
Blantyre,August,2024,25.377,294.453,0,0,0,0,293.252,292.543,294.508
Blantyre,September,2024,24.6616,296.69,0,0,0,0,294.453,293.252,292.543
Blantyre,October,2024,16.7682,297.508,0,0,0,0,296.69,294.453,293.252
Blantyre,November,2024,19.0096,299.382,0.01,0,0,0,297.508,296.69,294.453
Blantyre,December,2024,25.4673,300.208,0.01,0.01,0,0,299.382,297.508,296.69
Chikwawa,April,2018,31.8798,298.455,0,0.01,0.02,0,299.487,300.04,300.347
Chikwawa,May,2018,38.1339,297.489,0,0,0.01,0.02,298.455,299.487,300.04
Chikwawa,June,2018,22.9933,294.746,0,0,0,0.01,297.489,298.455,299.487
Chikwawa,July,2018,20.5168,292.83,0,0,0,0,294.746,297.489,298.455
Chikwawa,August,2018,19.4422,297.457,0,0,0,0,292.83,294.746,297.489
Chikwawa,September,2018,18.9678,300.608,0,0,0,0,297.457,292.83,294.746
Chikwawa,October,2018,11.5028,299.667,0,0,0,0,300.608,297.457,292.83
Chikwawa,November,2018,7.18,300.478,0.01,0,0,0,299.667,300.608,297.457
Chikwawa,December,2018,8.7891,299.662,0.01,0.01,0,0,300.478,299.667,300.608
Chikwawa,January,2019,24.0884,299.103,0.03,0.01,0.01,0,299.662,300.478,299.667
Chikwawa,February,2019,45.4727,299.323,0.01,0.03,0.01,0.01,299.103,299.662,300.478
Chikwawa,March,2019,45.5593,298.26,0.03,0.01,0.03,0.01,299.323,299.103,299.662
Chikwawa,April,2019,51.0001,297.787,0,0.03,0.01,0.03,298.26,299.323,299.103
Chikwawa,May,2019,66.3049,295.297,0,0,0.03,0.01,297.787,298.26,299.323
Chikwawa,June,2019,40.8368,293.132,0,0,0,0.03,295.297,297.787,298.26
Chikwawa,July,2019,36.5558,293.194,0,0,0,0,293.132,295.297,297.787
Chikwawa,August,2019,31.6689,296.305,0,0,0,0,293.194,293.132,295.297
Chikwawa,September,2019,35.5621,297.638,0,0,0,0,296.305,293.194,293.132
Chikwawa,October,2019,29.1328,302.178,0,0,0,0,297.638,296.305,293.194
Chikwawa,November,2019,12.4519,302.416,0.01,0,0,0,302.178,297.638,296.305
Chikwawa,December,2019,10.8108,301.569,0.01,0.01,0,0,302.416,302.178,297.638
Chikwawa,January,2020,33.2759,298.993,0.03,0.01,0.01,0,301.569,302.416,302.178
Chikwawa,February,2020,47.9548,299.501,0.01,0.03,0.01,0.01,298.993,301.569,302.416
Chikwawa,March,2020,67.1937,299.22,0,0.01,0.03,0.01,299.501,298.993,301.569
Chikwawa,April,2020,44.8618,299.217,0,0,0.01,0.03,299.22,299.501,298.993
Chikwawa,May,2020,48.485,296.081,0,0,0,0.01,299.217,299.22,299.501
Chikwawa,June,2020,50.8801,293.852,0,0,0,0,296.081,299.217,299.22
Chikwawa,July,2020,30.0778,292.918,0,0,0,0,293.852,296.081,299.217
Chikwawa,August,2020,28.3281,295.901,0,0,0,0,292.918,293.852,296.081
Chikwawa,September,2020,42.5192,298.778,0,0,0,0,295.901,292.918,293.852
Chikwawa,October,2020,18.2937,300.873,0,0,0,0,298.778,295.901,292.918
Chikwawa,November,2020,14.784,304.092,0,0,0,0,300.873,298.778,295.901
Chikwawa,December,2020,11.0135,300.829,0.01,0,0,0,304.092,300.873,298.778
Chikwawa,January,2021,27.5704,299.945,0.02,0.01,0,0,300.829,304.092,300.873
Chikwawa,February,2021,45.241,300.858,0.01,0.02,0.01,0,299.945,300.829,304.092
Chikwawa,March,2021,45.9143,298.962,0.01,0.01,0.02,0.01,300.858,299.945,300.829
Chikwawa,April,2021,53.3433,297.465,0,0.01,0.01,0.02,298.962,300.858,299.945
Chikwawa,May,2021,55.3465,295.101,0,0,0.01,0.01,297.465,298.962,300.858
Chikwawa,June,2021,47.4614,293.951,0,0,0,0.01,295.101,297.465,298.962
Chikwawa,July,2021,41.1185,293.202,0,0,0,0,293.951,295.101,297.465
Chikwawa,August,2021,35.6661,295.572,0,0,0,0,293.202,293.951,295.101
Chikwawa,September,2021,33.9647,298.364,0,0,0,0,295.572,293.202,293.951
Chikwawa,October,2021,22.534300000000002,300.245,0,0,0,0,298.364,295.572,293.202
Chikwawa,November,2021,12.0971,302.632,0.01,0,0,0,300.245,298.364,295.572
Chikwawa,December,2021,12.4951,303.089,0,0.01,0,0,302.632,300.245,298.364
Chikwawa,January,2022,12.5584,298.873,0.03,0,0.01,0,303.089,302.632,300.245
Chikwawa,February,2022,17.6048,298.827,0.02,0.03,0,0.01,298.873,303.089,302.632
Chikwawa,March,2022,22.5749,298.212,0.02,0.02,0.03,0,298.827,298.873,303.089
Chikwawa,April,2022,26.4453,297.637,0,0.02,0.02,0.03,298.212,298.827,298.873
Chikwawa,May,2022,24.7091,295.29,0,0,0.02,0.02,297.637,298.212,298.827
Chikwawa,June,2022,14.1712,292.387,0,0,0,0.02,295.29,297.637,298.212
Chikwawa,July,2022,10.3949,292.956,0,0,0,0,292.387,295.29,297.637
Chikwawa,August,2022,12.4625,295.61,0,0,0,0,292.956,292.387,295.29
Chikwawa,September,2022,8.402,298.075,0,0,0,0,295.61,292.956,292.387
Chikwawa,October,2022,7.6078,302.001,0,0,0,0,298.075,295.61,292.956
Chikwawa,November,2022,5.2852,301.093,0,0,0,0,302.001,298.075,295.61
Chikwawa,December,2022,5.1179,299.912,0.02,0,0,0,301.093,302.001,298.075
Chikwawa,January,2023,12.827,298.751,0.02,0.02,0,0,299.912,301.093,302.001
Chikwawa,February,2023,27.6627,299.292,0.02,0.02,0.02,0,298.751,299.912,301.093
Chikwawa,March,2023,27.572,297.959,0.02,0.02,0.02,0.02,299.292,298.751,299.912
Chikwawa,April,2023,40.0569,297.52,0,0.02,0.02,0.02,297.959,299.292,298.751
Chikwawa,May,2023,32.5809,296.683,0,0,0.02,0.02,297.52,297.959,299.292
Chikwawa,June,2023,42.9393,295.821,0,0,0,0.02,296.683,297.52,297.959
Chikwawa,July,2023,30.8794,293.996,0,0,0,0,295.821,296.683,297.52
Chikwawa,August,2023,33.4022,295.582,0,0,0,0,293.996,295.821,296.683
Chikwawa,September,2023,29.8162,300.301,0,0,0,0,295.582,293.996,295.821
Chikwawa,October,2023,28.5652,301.858,0,0,0,0,300.301,295.582,293.996
Chikwawa,November,2023,18.4424,302.059,0,0,0,0,301.858,300.301,295.582
Chikwawa,December,2023,12.8446,303.004,0.01,0,0,0,302.059,301.858,300.301
Chikwawa,January,2024,22.8446,300.164,0.01,0.01,0,0,303.004,302.059,301.858
Chikwawa,February,2024,35.8079,301.579,0,0.01,0.01,0,300.164,303.004,302.059
Chikwawa,March,2024,22.7385,300.789,0,0,0.01,0.01,301.579,300.164,303.004
Chikwawa,April,2024,33.6684,298.715,0,0,0,0.01,300.789,301.579,300.164
Chikwawa,May,2024,45.3225,296.604,0,0,0,0,298.715,300.789,301.579
Chikwawa,June,2024,29.4597,294.592,0,0,0,0,296.604,298.715,300.789
Chikwawa,July,2024,29.2178,295.263,0,0,0,0,294.592,296.604,298.715
Chikwawa,August,2024,39.3722,296.585,0,0,0,0,295.263,294.592,296.604
Chikwawa,September,2024,28.6544,298.711,0,0,0,0,296.585,295.263,294.592
Chikwawa,October,2024,10.3026,299.641,0,0,0,0,298.711,296.585,295.263
Chikwawa,November,2024,16.0703,301.778,0,0,0,0,299.641,298.711,296.585
Chikwawa,December,2024,15.585,302.971,0,0,0,0,301.778,299.641,298.711
Chiradzulu,April,2018,37.9389,295.039,0.01,0.01,0.02,0.01,296.745,297.176,296.89
Chiradzulu,May,2018,32.6938,293.936,0,0.01,0.01,0.02,295.039,296.745,297.176
Chiradzulu,June,2018,15.1112,291.54,0,0,0.01,0.01,293.936,295.039,296.745
Chiradzulu,July,2018,7.2491,290.316,0,0,0,0.01,291.54,293.936,295.039
Chiradzulu,August,2018,4.6965,294.087,0,0,0,0,290.316,291.54,293.936
Chiradzulu,September,2018,6.3367000000000004,297.073,0,0,0,0,294.087,290.316,291.54
Chiradzulu,October,2018,5.5614,296.518,0,0,0,0,297.073,294.087,290.316
Chiradzulu,November,2018,3.3783,297.606,0.01,0,0,0,296.518,297.073,294.087
Chiradzulu,December,2018,4.3635,297.081,0.02,0.01,0,0,297.606,296.518,297.073
Chiradzulu,January,2019,14.4267,296.527,0.03,0.02,0.01,0,297.081,297.606,296.518
Chiradzulu,February,2019,17.3197,296.818,0.01,0.03,0.02,0.01,296.527,297.081,297.606
Chiradzulu,March,2019,26.2516,296.09,0.03,0.01,0.03,0.02,296.818,296.527,297.081
Chiradzulu,April,2019,28.0044,295.661,0,0.03,0.01,0.03,296.09,296.818,296.527
Chiradzulu,May,2019,40.0189,292.932,0,0,0.03,0.01,295.661,296.09,296.818
Chiradzulu,June,2019,14.1135,290.792,0,0,0,0.03,292.932,295.661,296.09
Chiradzulu,July,2019,5.5388,290.637,0,0,0,0,290.792,292.932,295.661
