"","District","Month","Year","Cases"
"2348","Zomba-DHO","September",2021,16060
"2349","Balaka-DHO","October",2021,7953
"2350","Blantyre-DHO","October",2021,14312
"2351","Chikwawa-DHO","October",2021,13589
"2352","Chiradzulu-DHO","October",2021,1067
"2353","Chitipa-DHO","October",2021,2971
"2354","Dedza-DHO","October",2021,9644
"2355","Dowa-DHO","October",2021,18007
"2356","Karonga-DHO","October",2021,12209
"2357","Kasungu-DHO","October",2021,16742
"2358","Likoma-DHO","October",2021,604
"2359","Lilongwe-DHO","October",2021,36652
"2360","Machinga-DHO","October",2021,18352
"2361","Mangochi-DHO","October",2021,25380
"2362","Mchinji-DHO","October",2021,20630
"2363","Mulanje-DHO","October",2021,14810
"2364","Mwanza-DHO","October",2021,5053
"2365","Mzimba-North-DHO","October",2021,6567
"2366","Mzimba-South-DHO","October",2021,9847
"2367","Neno-DHO","October",2021,5256
"2368","Nkhata-Bay-DHO","October",2021,24268
"2369","Nkhotakota-DHO","October",2021,35015
"2370","Nsanje-DHO","October",2021,5717
"2371","Ntcheu-DHO","October",2021,11527
"2372","Ntchisi-DHO","October",2021,14805
"2373","Phalombe-DHO","October",2021,3636
"2374","Rumphi-DHO","October",2021,3769
"2375","Salima-DHO","October",2021,21925
"2376","Thyolo-DHO","October",2021,5448
"2377","Zomba-DHO","October",2021,14993
"2378","Balaka-DHO","November",2021,5577
"2379","Blantyre-DHO","November",2021,9145
"2380","Chikwawa-DHO","November",2021,7295
"2381","Chiradzulu-DHO","November",2021,1049
"2382","Chitipa-DHO","November",2021,2844
"2383","Dedza-DHO","November",2021,12867
"2384","Dowa-DHO","November",2021,21386
"2385","Karonga-DHO","November",2021,8180
"2386","Kasungu-DHO","November",2021,18591
"2387","Likoma-DHO","November",2021,471
"2388","Lilongwe-DHO","November",2021,41245
"2389","Machinga-DHO","November",2021,14911
"2390","Mangochi-DHO","November",2021,21829
"2391","Mchinji-DHO","November",2021,18700
"2392","Mulanje-DHO","November",2021,15074
"2393","Mwanza-DHO","November",2021,4426
"2394","Mzimba-North-DHO","November",2021,7053
"2395","Mzimba-South-DHO","November",2021,9977
"2396","Neno-DHO","November",2021,4363
"2397","Nkhata-Bay-DHO","November",2021,25325
"2398","Nkhotakota-DHO","November",2021,24599
"2399","Nsanje-DHO","November",2021,3352
"2400","Ntcheu-DHO","November",2021,9989
"2401","Ntchisi-DHO","November",2021,17897
"2402","Phalombe-DHO","November",2021,2906
"2403","Rumphi-DHO","November",2021,4002
"2404","Salima-DHO","November",2021,14251
"2405","Thyolo-DHO","November",2021,5990
"2406","Zomba-DHO","November",2021,13612
"2407","Balaka-DHO","December",2021,3521
"2408","Blantyre-DHO","December",2021,11427
"2409","Chikwawa-DHO","December",2021,7535
"2410","Chiradzulu-DHO","December",2021,1211
"2411","Chitipa-DHO","December",2021,3532
"2412","Dedza-DHO","December",2021,17244
"2413","Dowa-DHO","December",2021,27817
"2414","Karonga-DHO","December",2021,8478
"2415","Kasungu-DHO","December",2021,18090
"2416","Likoma-DHO","December",2021,422
"2417","Lilongwe-DHO","December",2021,45319
"2418","Machinga-DHO","December",2021,12408
"2419","Mangochi-DHO","December",2021,14522
"2420","Mchinji-DHO","December",2021,17001
"2421","Mulanje-DHO","December",2021,20796
"2422","Mwanza-DHO","December",2021,5124
"2423","Mzimba-North-DHO","December",2021,9473
"2424","Mzimba-South-DHO","December",2021,9351
"2425","Neno-DHO","December",2021,5159
"2426","Nkhata-Bay-DHO","December",2021,28005
"2427","Nkhotakota-DHO","December",2021,17283
"2428","Nsanje-DHO","December",2021,4556
"2429","Ntcheu-DHO","December",2021,10272
"2430","Ntchisi-DHO","December",2021,21422
"2431","Phalombe-DHO","December",2021,3901
"2432","Rumphi-DHO","December",2021,5640
"2433","Salima-DHO","December",2021,9915
"2434","Thyolo-DHO","December",2021,8538
"2435","Zomba-DHO","December",2021,10955
"2436","Balaka-DHO","January",2022,4127
"2437","Blantyre-DHO","January",2022,12573
"2438","Chikwawa-DHO","January",2022,7732
"2439","Chiradzulu-DHO","January",2022,1338
"2440","Chitipa-DHO","January",2022,7793
"2441","Dedza-DHO","January",2022,29449
"2442","Dowa-DHO","January",2022,25164
"2443","Karonga-DHO","January",2022,11001
"2444","Kasungu-DHO","January",2022,27146
"2445","Likoma-DHO","January",2022,343
"2446","Lilongwe-DHO","January",2022,73106
"2447","Machinga-DHO","January",2022,14914
"2448","Mangochi-DHO","January",2022,15471
"2449","Mchinji-DHO","January",2022,24721
"2450","Mulanje-DHO","January",2022,19678
"2451","Mwanza-DHO","January",2022,7711
"2452","Mzimba-North-DHO","January",2022,14738
"2453","Mzimba-South-DHO","January",2022,17023
"2454","Neno-DHO","January",2022,6658
"2455","Nkhata-Bay-DHO","January",2022,30807
"2456","Nkhotakota-DHO","January",2022,28111
"2457","Nsanje-DHO","January",2022,3226
"2458","Ntcheu-DHO","January",2022,14700
"2459","Ntchisi-DHO","January",2022,21328
"2460","Phalombe-DHO","January",2022,3279
"2461","Rumphi-DHO","January",2022,8194
"2462","Salima-DHO","January",2022,14162
"2463","Thyolo-DHO","January",2022,11511
"2464","Zomba-DHO","January",2022,12322
"2465","Balaka-DHO","February",2022,6835
"2466","Blantyre-DHO","February",2022,24363
"2467","Chikwawa-DHO","February",2022,10839
"2468","Chiradzulu-DHO","February",2022,997
"2469","Chitipa-DHO","February",2022,8910
"2470","Dedza-DHO","February",2022,31725
"2471","Dowa-DHO","February",2022,21441
"2472","Karonga-DHO","February",2022,11858
"2473","Kasungu-DHO","February",2022,34991
"2474","Likoma-DHO","February",2022,490
"2475","Lilongwe-DHO","February",2022,78914
"2476","Machinga-DHO","February",2022,26692
"2477","Mangochi-DHO","February",2022,18737
"2478","Mchinji-DHO","February",2022,23467
"2479","Mulanje-DHO","February",2022,18480
"2480","Mwanza-DHO","February",2022,8927
"2481","Mzimba-North-DHO","February",2022,15971
"2482","Mzimba-South-DHO","February",2022,22997
"2483","Neno-DHO","February",2022,8105
"2484","Nkhata-Bay-DHO","February",2022,21880
"2485","Nkhotakota-DHO","February",2022,36706
"2486","Nsanje-DHO","February",2022,3336
"2487","Ntcheu-DHO","February",2022,15043
"2488","Ntchisi-DHO","February",2022,18341
"2489","Phalombe-DHO","February",2022,3894
"2490","Rumphi-DHO","February",2022,6209
"2491","Salima-DHO","February",2022,31848
"2492","Thyolo-DHO","February",2022,10494
"2493","Zomba-DHO","February",2022,12724
"2494","Balaka-DHO","March",2022,6772
"2495","Blantyre-DHO","March",2022,22750
"2496","Chikwawa-DHO","March",2022,13899
"2497","Chiradzulu-DHO","March",2022,999
"2498","Chitipa-DHO","March",2022,6509
"2499","Dedza-DHO","March",2022,30786
"2500","Dowa-DHO","March",2022,11173
"2501","Karonga-DHO","March",2022,7985
"2502","Kasungu-DHO","March",2022,20838
"2503","Likoma-DHO","March",2022,396
"2504","Lilongwe-DHO","March",2022,45176
"2505","Machinga-DHO","March",2022,24777
"2506","Mangochi-DHO","March",2022,20388
"2507","Mchinji-DHO","March",2022,15841
"2508","Mulanje-DHO","March",2022,15304
"2509","Mwanza-DHO","March",2022,6931
"2510","Mzimba-North-DHO","March",2022,10975
"2511","Mzimba-South-DHO","March",2022,15269
"2512","Neno-DHO","March",2022,4259
"2513","Nkhata-Bay-DHO","March",2022,25854
"2514","Nkhotakota-DHO","March",2022,32019
"2515","Nsanje-DHO","March",2022,12644
"2516","Ntcheu-DHO","March",2022,11252
"2517","Ntchisi-DHO","March",2022,10311
"2518","Phalombe-DHO","March",2022,4139
"2519","Rumphi-DHO","March",2022,2939
"2520","Salima-DHO","March",2022,33807
"2521","Thyolo-DHO","March",2022,7481
"2522","Zomba-DHO","March",2022,10341
"2523","Balaka-DHO","April",2022,14302
"2524","Blantyre-DHO","April",2022,25624
"2525","Chikwawa-DHO","April",2022,16282
"2526","Chiradzulu-DHO","April",2022,1432
"2527","Chitipa-DHO","April",2022,6592
"2528","Dedza-DHO","April",2022,28643
"2529","Dowa-DHO","April",2022,10880
"2530","Karonga-DHO","April",2022,5832
"2531","Kasungu-DHO","April",2022,16828
"2532","Likoma-DHO","April",2022,459
"2533","Lilongwe-DHO","April",2022,35380
"2534","Machinga-DHO","April",2022,23786
"2535","Mangochi-DHO","April",2022,31372
"2536","Mchinji-DHO","April",2022,9842
"2537","Mulanje-DHO","April",2022,12919
"2538","Mwanza-DHO","April",2022,6566
"2539","Mzimba-North-DHO","April",2022,10384
"2540","Mzimba-South-DHO","April",2022,15110
"2541","Neno-DHO","April",2022,5817
"2542","Nkhata-Bay-DHO","April",2022,28319
"2543","Nkhotakota-DHO","April",2022,33049
"2544","Nsanje-DHO","April",2022,16087
"2545","Ntcheu-DHO","April",2022,23291
"2546","Ntchisi-DHO","April",2022,8365
"2547","Phalombe-DHO","April",2022,5537
"2548","Rumphi-DHO","April",2022,2451
"2549","Salima-DHO","April",2022,32909
"2550","Thyolo-DHO","April",2022,6617
"2551","Zomba-DHO","April",2022,10052
"2552","Balaka-DHO","May",2022,24566
"2553","Blantyre-DHO","May",2022,28728
"2554","Chikwawa-DHO","May",2022,15213
"2555","Chiradzulu-DHO","May",2022,2323
"2556","Chitipa-DHO","May",2022,4326
"2557","Dedza-DHO","May",2022,26560
"2558","Dowa-DHO","May",2022,10123
"2559","Karonga-DHO","May",2022,5278
"2560","Kasungu-DHO","May",2022,12292
"2561","Likoma-DHO","May",2022,595
"2562","Lilongwe-DHO","May",2022,28441
"2563","Machinga-DHO","May",2022,40213
"2564","Mangochi-DHO","May",2022,48449
"2565","Mchinji-DHO","May",2022,7734
"2566","Mulanje-DHO","May",2022,15678
"2567","Mwanza-DHO","May",2022,4380
"2568","Mzimba-North-DHO","May",2022,8238
"2569","Mzimba-South-DHO","May",2022,14620
"2570","Neno-DHO","May",2022,7529
"2571","Nkhata-Bay-DHO","May",2022,25970
"2572","Nkhotakota-DHO","May",2022,30317
"2573","Nsanje-DHO","May",2022,25357
"2574","Ntcheu-DHO","May",2022,32235
"2575","Ntchisi-DHO","May",2022,6556
"2576","Phalombe-DHO","May",2022,8099
"2577","Rumphi-DHO","May",2022,2271
"2578","Salima-DHO","May",2022,28122
"2579","Thyolo-DHO","May",2022,7357
"2580","Zomba-DHO","May",2022,14789
"2581","Balaka-DHO","June",2022,18696
"2582","Blantyre-DHO","June",2022,23239
"2583","Chikwawa-DHO","June",2022,8725
"2584","Chiradzulu-DHO","June",2022,1774
"2585","Chitipa-DHO","June",2022,3148
"2586","Dedza-DHO","June",2022,18226
"2587","Dowa-DHO","June",2022,7694
"2588","Karonga-DHO","June",2022,5431
"2589","Kasungu-DHO","June",2022,8265
"2590","Likoma-DHO","June",2022,497
"2591","Lilongwe-DHO","June",2022,25973
"2592","Machinga-DHO","June",2022,39922
"2593","Mangochi-DHO","June",2022,49213
"2594","Mchinji-DHO","June",2022,5729
"2595","Mulanje-DHO","June",2022,10465
"2596","Mwanza-DHO","June",2022,3631
"2597","Mzimba-North-DHO","June",2022,5841
"2598","Mzimba-South-DHO","June",2022,11158
"2599","Neno-DHO","June",2022,4836
"2600","Nkhata-Bay-DHO","June",2022,24580
"2601","Nkhotakota-DHO","June",2022,29993
"2602","Nsanje-DHO","June",2022,15848
"2603","Ntcheu-DHO","June",2022,24036
"2604","Ntchisi-DHO","June",2022,5224
"2605","Phalombe-DHO","June",2022,6732
"2606","Rumphi-DHO","June",2022,1781
"2607","Salima-DHO","June",2022,21655
"2608","Thyolo-DHO","June",2022,4783
"2609","Zomba-DHO","June",2022,11643
"2610","Balaka-DHO","July",2022,13708
"2611","Blantyre-DHO","July",2022,18496
"2612","Chikwawa-DHO","July",2022,6400
"2613","Chiradzulu-DHO","July",2022,738
"2614","Chitipa-DHO","July",2022,1983
"2615","Dedza-DHO","July",2022,9699
"2616","Dowa-DHO","July",2022,4756
"2617","Karonga-DHO","July",2022,5249
"2618","Kasungu-DHO","July",2022,4488
"2619","Likoma-DHO","July",2022,281
"2620","Lilongwe-DHO","July",2022,14410
"2621","Machinga-DHO","July",2022,25107
"2622","Mangochi-DHO","July",2022,26345
"2623","Mchinji-DHO","July",2022,3746
"2624","Mulanje-DHO","July",2022,8447
"2625","Mwanza-DHO","July",2022,2734
"2626","Mzimba-North-DHO","July",2022,3500
"2627","Mzimba-South-DHO","July",2022,7976
"2628","Neno-DHO","July",2022,3209
"2629","Nkhata-Bay-DHO","July",2022,18685
"2630","Nkhotakota-DHO","July",2022,25268
"2631","Nsanje-DHO","July",2022,9583
"2632","Ntcheu-DHO","July",2022,12748
"2633","Ntchisi-DHO","July",2022,4088
"2634","Phalombe-DHO","July",2022,3097
"2635","Rumphi-DHO","July",2022,1549
"2636","Salima-DHO","July",2022,13571
"2637","Thyolo-DHO","July",2022,3967
"2638","Zomba-DHO","July",2022,7924
"2639","Balaka-DHO","August",2022,18202
"2640","Blantyre-DHO","August",2022,16749
"2641","Chikwawa-DHO","August",2022,7673
"2642","Chiradzulu-DHO","August",2022,601
"2643","Chitipa-DHO","August",2022,1074
"2644","Dedza-DHO","August",2022,7712
"2645","Dowa-DHO","August",2022,4643
"2646","Karonga-DHO","August",2022,5544
"2647","Kasungu-DHO","August",2022,3219
"2648","Likoma-DHO","August",2022,246
"2649","Lilongwe-DHO","August",2022,12358
"2650","Machinga-DHO","August",2022,26219
"2651","Mangochi-DHO","August",2022,29068
"2652","Mchinji-DHO","August",2022,3543
"2653","Mulanje-DHO","August",2022,7750
"2654","Mwanza-DHO","August",2022,3004
"2655","Mzimba-North-DHO","August",2022,2635
"2656","Mzimba-South-DHO","August",2022,6413
"2657","Neno-DHO","August",2022,3031
"2658","Nkhata-Bay-DHO","August",2022,19360
"2659","Nkhotakota-DHO","August",2022,29614
"2660","Nsanje-DHO","August",2022,8357
"2661","Ntcheu-DHO","August",2022,12474
"2662","Ntchisi-DHO","August",2022,4241
"2663","Phalombe-DHO","August",2022,4165
"2664","Rumphi-DHO","August",2022,946
"2665","Salima-DHO","August",2022,15252
"2666","Thyolo-DHO","August",2022,3480
"2667","Zomba-DHO","August",2022,7571
"2668","Balaka-DHO","September",2022,11850
"2669","Blantyre-DHO","September",2022,13421
"2670","Chikwawa-DHO","September",2022,5173
"2671","Chiradzulu-DHO","September",2022,601
"2672","Chitipa-DHO","September",2022,932
"2673","Dedza-DHO","September",2022,7362
"2674","Dowa-DHO","September",2022,4111
"2675","Karonga-DHO","September",2022,4275
"2676","Kasungu-DHO","September",2022,3126
"2677","Likoma-DHO","September",2022,301
"2678","Lilongwe-DHO","September",2022,12200
"2679","Machinga-DHO","September",2022,24202
"2680","Mangochi-DHO","September",2022,23406
"2681","Mchinji-DHO","September",2022,3518
"2682","Mulanje-DHO","September",2022,6702
"2683","Mwanza-DHO","September",2022,2251
"2684","Mzimba-North-DHO","September",2022,2302
"2685","Mzimba-South-DHO","September",2022,5339
"2686","Neno-DHO","September",2022,3491
"2687","Nkhata-Bay-DHO","September",2022,20236
"2688","Nkhotakota-DHO","September",2022,26027
"2689","Nsanje-DHO","September",2022,7261
"2690","Ntcheu-DHO","September",2022,10987
"2691","Ntchisi-DHO","September",2022,5261
"2692","Phalombe-DHO","September",2022,4582
"2693","Rumphi-DHO","September",2022,713
"2694","Salima-DHO","September",2022,13419
"2695","Thyolo-DHO","September",2022,3223
"2696","Zomba-DHO","September",2022,9386
"2697","Balaka-DHO","October",2022,11709
"2698","Blantyre-DHO","October",2022,15547
"2699","Chikwawa-DHO","October",2022,4684
"2700","Chiradzulu-DHO","October",2022,1072
"2701","Chitipa-DHO","October",2022,734
"2702","Dedza-DHO","October",2022,9973
"2703","Dowa-DHO","October",2022,5958
"2704","Karonga-DHO","October",2022,4285
"2705","Kasungu-DHO","October",2022,4360
"2706","Likoma-DHO","October",2022,219
"2707","Lilongwe-DHO","October",2022,14788
"2708","Machinga-DHO","October",2022,22134
"2709","Mangochi-DHO","October",2022,25853
"2710","Mchinji-DHO","October",2022,3667
"2711","Mulanje-DHO","October",2022,7489
"2712","Mwanza-DHO","October",2022,2095
"2713","Mzimba-North-DHO","October",2022,2496
"2714","Mzimba-South-DHO","October",2022,5532
"2715","Neno-DHO","October",2022,4872
"2716","Nkhata-Bay-DHO","October",2022,21739
"2717","Nkhotakota-DHO","October",2022,22219
"2718","Nsanje-DHO","October",2022,7268
"2719","Ntcheu-DHO","October",2022,15405
"2720","Ntchisi-DHO","October",2022,9835
"2721","Phalombe-DHO","October",2022,5299
"2722","Rumphi-DHO","October",2022,759
"2723","Salima-DHO","October",2022,16311
"2724","Thyolo-DHO","October",2022,3928
"2725","Zomba-DHO","October",2022,9998
"2726","Balaka-DHO","November",2022,6289
"2727","Blantyre-DHO","November",2022,11926
"2728","Chikwawa-DHO","November",2022,3254
"2729","Chiradzulu-DHO","November",2022,980
"2730","Chitipa-DHO","November",2022,791
"2731","Dedza-DHO","November",2022,10462
"2732","Dowa-DHO","November",2022,6249
"2733","Karonga-DHO","November",2022,3541
"2734","Kasungu-DHO","November",2022,7603
"2735","Likoma-DHO","November",2022,260
"2736","Lilongwe-DHO","November",2022,14425
"2737","Machinga-DHO","November",2022,17578
"2738","Mangochi-DHO","November",2022,18374
"2739","Mchinji-DHO","November",2022,3993
"2740","Mulanje-DHO","November",2022,10529
"2741","Mwanza-DHO","November",2022,2280
"2742","Mzimba-North-DHO","November",2022,2496
"2743","Mzimba-South-DHO","November",2022,6349
"2744","Neno-DHO","November",2022,4041
"2745","Nkhata-Bay-DHO","November",2022,18492
"2746","Nkhotakota-DHO","November",2022,16817
"2747","Nsanje-DHO","November",2022,4293
"2748","Ntcheu-DHO","November",2022,10742
"2749","Ntchisi-DHO","November",2022,11768
"2750","Phalombe-DHO","November",2022,5164
"2751","Rumphi-DHO","November",2022,781
"2752","Salima-DHO","November",2022,10927
"2753","Thyolo-DHO","November",2022,4682
"2754","Zomba-DHO","November",2022,8791
"2755","Balaka-DHO","December",2022,3184
"2756","Blantyre-DHO","December",2022,14194
"2757","Chikwawa-DHO","December",2022,3151
"2758","Chiradzulu-DHO","December",2022,1738
"2759","Chitipa-DHO","December",2022,1533
"2760","Dedza-DHO","December",2022,12207
"2761","Dowa-DHO","December",2022,8191
"2762","Karonga-DHO","December",2022,3284
"2763","Kasungu-DHO","December",2022,8213
"2764","Likoma-DHO","December",2022,151
"2765","Lilongwe-DHO","December",2022,21058
"2766","Machinga-DHO","December",2022,11344
"2767","Mangochi-DHO","December",2022,11679
"2768","Mchinji-DHO","December",2022,7211
"2769","Mulanje-DHO","December",2022,17030
"2770","Mwanza-DHO","December",2022,3968
"2771","Mzimba-North-DHO","December",2022,2936
"2772","Mzimba-South-DHO","December",2022,8695
"2773","Neno-DHO","December",2022,9127
"2774","Nkhata-Bay-DHO","December",2022,16598
"2775","Nkhotakota-DHO","December",2022,9011
"2776","Nsanje-DHO","December",2022,5734
"2777","Ntcheu-DHO","December",2022,13399
"2778","Ntchisi-DHO","December",2022,13733
"2779","Phalombe-DHO","December",2022,6637
"2780","Rumphi-DHO","December",2022,1364
"2781","Salima-DHO","December",2022,9683
"2782","Thyolo-DHO","December",2022,7216
"2783","Zomba-DHO","December",2022,13623
"2784","Balaka-DHO","January",2023,6319
"2785","Blantyre-DHO","January",2023,27943
"2786","Chikwawa-DHO","January",2023,8059
"2787","Chiradzulu-DHO","January",2023,5510
"2788","Chitipa-DHO","January",2023,7196
"2789","Dedza-DHO","January",2023,24466
"2790","Dowa-DHO","January",2023,24898
"2791","Karonga-DHO","January",2023,9095
"2792","Kasungu-DHO","January",2023,32746
"2793","Likoma-DHO","January",2023,331
"2794","Lilongwe-DHO","January",2023,48314
"2795","Machinga-DHO","January",2023,40997
"2796","Mangochi-DHO","January",2023,22037
"2797","Mchinji-DHO","January",2023,23132
"2798","Mulanje-DHO","January",2023,36947
"2799","Mwanza-DHO","January",2023,11526
"2800","Mzimba-North-DHO","January",2023,8731
"2801","Mzimba-South-DHO","January",2023,22314
"2802","Neno-DHO","January",2023,22681
"2803","Nkhata-Bay-DHO","January",2023,21239
"2804","Nkhotakota-DHO","January",2023,16839
"2805","Nsanje-DHO","January",2023,8976
"2806","Ntcheu-DHO","January",2023,28345
"2807","Ntchisi-DHO","January",2023,24724
"2808","Phalombe-DHO","January",2023,16915
"2809","Rumphi-DHO","January",2023,5764
"2810","Salima-DHO","January",2023,45244
"2811","Thyolo-DHO","January",2023,17352
"2812","Zomba-DHO","January",2023,34435
"2813","Balaka-DHO","February",2023,6679
"2814","Blantyre-DHO","February",2023,36315
"2815","Chikwawa-DHO","February",2023,17380
"2816","Chiradzulu-DHO","February",2023,6596
"2817","Chitipa-DHO","February",2023,5670
"2818","Dedza-DHO","February",2023,38179
"2819","Dowa-DHO","February",2023,16802
"2820","Karonga-DHO","February",2023,14621
"2821","Kasungu-DHO","February",2023,29035
"2822","Likoma-DHO","February",2023,278
"2823","Lilongwe-DHO","February",2023,40932
"2824","Machinga-DHO","February",2023,35425
"2825","Mangochi-DHO","February",2023,16884
"2826","Mchinji-DHO","February",2023,26120
"2827","Mulanje-DHO","February",2023,27057
"2828","Mwanza-DHO","February",2023,8539
"2829","Mzimba-North-DHO","February",2023,7504
"2830","Mzimba-South-DHO","February",2023,20319
"2831","Neno-DHO","February",2023,13166
"2832","Nkhata-Bay-DHO","February",2023,16156
"2833","Nkhotakota-DHO","February",2023,14154
"2834","Nsanje-DHO","February",2023,6340
"2835","Ntcheu-DHO","February",2023,16731
"2836","Ntchisi-DHO","February",2023,14874
"2837","Phalombe-DHO","February",2023,14626
"2838","Rumphi-DHO","February",2023,3038
"2839","Salima-DHO","February",2023,47468
"2840","Thyolo-DHO","February",2023,12059
"2841","Zomba-DHO","February",2023,24416
"2842","Balaka-DHO","March",2023,5169
"2843","Blantyre-DHO","March",2023,34333
"2844","Chikwawa-DHO","March",2023,17323
"2845","Chiradzulu-DHO","March",2023,4699
"2846","Chitipa-DHO","March",2023,2388
"2847","Dedza-DHO","March",2023,30436
"2848","Dowa-DHO","March",2023,10131
"2849","Karonga-DHO","March",2023,12803
"2850","Kasungu-DHO","March",2023,22657
"2851","Likoma-DHO","March",2023,312
"2852","Lilongwe-DHO","March",2023,51047
"2853","Machinga-DHO","March",2023,38643.5
"2854","Mangochi-DHO","March",2023,18201
"2855","Mchinji-DHO","March",2023,28929
"2856","Mulanje-DHO","March",2023,30701
"2857","Mwanza-DHO","March",2023,9563
"2858","Mzimba-North-DHO","March",2023,9759
"2859","Mzimba-South-DHO","March",2023,31727
"2860","Neno-DHO","March",2023,13962
"2861","Nkhata-Bay-DHO","March",2023,20433
"2862","Nkhotakota-DHO","March",2023,13182
"2863","Nsanje-DHO","March",2023,5438
"2864","Ntcheu-DHO","March",2023,24603
"2865","Ntchisi-DHO","March",2023,16837
"2866","Phalombe-DHO","March",2023,10984
"2867","Rumphi-DHO","March",2023,4363
"2868","Salima-DHO","March",2023,54330
"2869","Thyolo-DHO","March",2023,8159
"2870","Zomba-DHO","March",2023,24249
"2871","Balaka-DHO","April",2023,8230
"2872","Blantyre-DHO","April",2023,37182
"2873","Chikwawa-DHO","April",2023,25167
"2874","Chiradzulu-DHO","April",2023,5497
"2875","Chitipa-DHO","April",2023,4136
"2876","Dedza-DHO","April",2023,31281
"2877","Dowa-DHO","April",2023,12591
"2878","Karonga-DHO","April",2023,12261
"2879","Kasungu-DHO","April",2023,27694
"2880","Likoma-DHO","April",2023,301
"2881","Lilongwe-DHO","April",2023,36676
"2882","Machinga-DHO","April",2023,30846
"2883","Mangochi-DHO","April",2023,17758
"2884","Mchinji-DHO","April",2023,21443
"2885","Mulanje-DHO","April",2023,25817
"2886","Mwanza-DHO","April",2023,8055
"2887","Mzimba-North-DHO","April",2023,9291
"2888","Mzimba-South-DHO","April",2023,25535
"2889","Neno-DHO","April",2023,14923
"2890","Nkhata-Bay-DHO","April",2023,17369
"2891","Nkhotakota-DHO","April",2023,11512
"2892","Nsanje-DHO","April",2023,7846
"2893","Ntcheu-DHO","April",2023,24678
"2894","Ntchisi-DHO","April",2023,9428
"2895","Phalombe-DHO","April",2023,10114
"2896","Rumphi-DHO","April",2023,3181
"2897","Salima-DHO","April",2023,45741
"2898","Thyolo-DHO","April",2023,5900
"2899","Zomba-DHO","April",2023,21824
"2900","Balaka-DHO","May",2023,7949
"2901","Blantyre-DHO","May",2023,35813
"2902","Chikwawa-DHO","May",2023,20470
"2903","Chiradzulu-DHO","May",2023,4731
"2904","Chitipa-DHO","May",2023,4776
"2905","Dedza-DHO","May",2023,21970
"2906","Dowa-DHO","May",2023,8980
"2907","Karonga-DHO","May",2023,14274
"2908","Kasungu-DHO","May",2023,23861
"2909","Likoma-DHO","May",2023,615
"2910","Lilongwe-DHO","May",2023,38139
"2911","Machinga-DHO","May",2023,36679
"2912","Mangochi-DHO","May",2023,30643
"2913","Mchinji-DHO","May",2023,24292
"2914","Mulanje-DHO","May",2023,36754
"2915","Mwanza-DHO","May",2023,8163
"2916","Mzimba-North-DHO","May",2023,10159
"2917","Mzimba-South-DHO","May",2023,30748
"2918","Neno-DHO","May",2023,19622
"2919","Nkhata-Bay-DHO","May",2023,19337
"2920","Nkhotakota-DHO","May",2023,14204
"2921","Nsanje-DHO","May",2023,17944
"2922","Ntcheu-DHO","May",2023,35454
"2923","Ntchisi-DHO","May",2023,10915
"2924","Phalombe-DHO","May",2023,17687
"2925","Rumphi-DHO","May",2023,3739
"2926","Salima-DHO","May",2023,51963
"2927","Thyolo-DHO","May",2023,10618
"2928","Zomba-DHO","May",2023,27772
"2929","Balaka-DHO","June",2023,14327
"2930","Blantyre-DHO","June",2023,48082
"2931","Chikwawa-DHO","June",2023,26978
"2932","Chiradzulu-DHO","June",2023,9188
"2933","Chitipa-DHO","June",2023,5478
"2934","Dedza-DHO","June",2023,22102
"2935","Dowa-DHO","June",2023,11686
"2936","Karonga-DHO","June",2023,17362
"2937","Kasungu-DHO","June",2023,31605
"2938","Likoma-DHO","June",2023,399
"2939","Lilongwe-DHO","June",2023,38322
"2940","Machinga-DHO","June",2023,33544
"2941","Mangochi-DHO","June",2023,36185
"2942","Mchinji-DHO","June",2023,24386
"2943","Mulanje-DHO","June",2023,29760
"2944","Mwanza-DHO","June",2023,7061
"2945","Mzimba-North-DHO","June",2023,8314
"2946","Mzimba-South-DHO","June",2023,32237
"2947","Neno-DHO","June",2023,14768
"2948","Nkhata-Bay-DHO","June",2023,25050
"2949","Nkhotakota-DHO","June",2023,19603
"2950","Nsanje-DHO","June",2023,13551
"2951","Ntcheu-DHO","June",2023,33803
"2952","Ntchisi-DHO","June",2023,10213
"2953","Phalombe-DHO","June",2023,19289
"2954","Rumphi-DHO","June",2023,3287
"2955","Salima-DHO","June",2023,50755
"2956","Thyolo-DHO","June",2023,9094
"2957","Zomba-DHO","June",2023,27688
"2958","Balaka-DHO","July",2023,11462
"2959","Blantyre-DHO","July",2023,42226
"2960","Chikwawa-DHO","July",2023,19401
"2961","Chiradzulu-DHO","July",2023,7719
"2962","Chitipa-DHO","July",2023,4254
"2963","Dedza-DHO","July",2023,21725
"2964","Dowa-DHO","July",2023,10447
"2965","Karonga-DHO","July",2023,16902
"2966","Kasungu-DHO","July",2023,31407
"2967","Likoma-DHO","July",2023,306
"2968","Lilongwe-DHO","July",2023,25144
"2969","Machinga-DHO","July",2023,39421
"2970","Mangochi-DHO","July",2023,30524
"2971","Mchinji-DHO","July",2023,16108
"2972","Mulanje-DHO","July",2023,22794
"2973","Mwanza-DHO","July",2023,6175
"2974","Mzimba-North-DHO","July",2023,4876
"2975","Mzimba-South-DHO","July",2023,18972
"2976","Neno-DHO","July",2023,11598
"2977","Nkhata-Bay-DHO","July",2023,21796
"2978","Nkhotakota-DHO","July",2023,19856
"2979","Nsanje-DHO","July",2023,9451
